date,cum,26036,20978,3,40151,47178,1
2017-11-19,0,1,0,0,0,1,0
2017-11-20,2,2,0,1,0,3,0
2017-11-21,8,1,0,4,0,4,0
2017-11-22,17,0,0,2,3,2,1
2017-11-23,25,1,1,0,1,5,0
2017-11-24,33,1,3,1,1,3,0
2017-11-25,42,1,0,1,0,0,0
2017-11-26,44,2,1,0,0,1,0
2017-11-27,48,3,1,0,0,0,0
2017-11-28,52,5,1,0,0,1,0
2017-11-29,59,3,1,1,0,3,0
2017-11-30,67,2,3,3,0,15,0
2017-12-01,90,2,0,1,1,0,0
2017-12-02,94,7,0,0,0,4,0
2017-12-03,105,1,0,8,1,2,1
2017-12-04,118,2,0,0,1,9,0
2017-12-05,130,4,0,2,1,2,0
2017-12-06,139,1,1,1,0,2,0
2017-12-07,144,3,1,5,2,0,0
2017-12-08,155,5,7,3,0,1,0
2017-12-09,171,0,4,4,0,2,0
2017-12-10,181,2,0,0,0,0,0
2017-12-11,183,3,0,1,1,1,0
2017-12-12,189,1,1,7,0,0,0
2017-12-13,198,3,0,1,0,2,0
2017-12-14,204,1,1,0,1,1,0
2017-12-15,208,1,5,2,0,1,0
2017-12-16,217,4,1,0,0,1,0
2017-12-17,223,0,1,1,0,2,0
2017-12-18,227,0,4,2,0,2,0
2017-12-19,235,0,0,1,2,3,0
2017-12-20,241,6,1,1,2,0,0
2017-12-21,251,0,1,2,2,2,0
2017-12-22,258,1,1,0,0,2,0
2017-12-23,262,10,1,0,0,2,1
2017-12-24,276,10,1,0,1,0,0
2017-12-25,288,1,1,1,0,0,0
2017-12-26,291,2,0,0,0,0,0
