id	species
5113	Corvus brachyrhynchos
5115	Corvus brachyrhynchos
5083	Cyanocitta cristata
5143	Cyanocitta cristata
5119	Corvus brachyrhynchos
5093	Cyanocitta cristata
5057	Cyanocitta cristata
5147	Corvus ossifragus
5043	Corvus ossifragus
5107	Corvus ossifragus
5045	Corvus brachyrhynchos
5063	Corvus brachyrhynchos
5111	Cyanocitta cristata
5149	Corvus brachyrhynchos
5087	Cyanocitta cristata
5035	Cyanocitta cristata
5007	Cyanocitta cristata
5081	Cyanocitta cristata
24027	Cyanocitta cristata
22047	Cyanocitta cristata
22055	Cyanocitta cristata
22069	Corvus brachyrhynchos
22113	Cyanocitta cristata
22119	Cyanocitta cristata
22085	Corvus brachyrhynchos
22079	Corvus brachyrhynchos
22029	Cyanocitta cristata
22031	Cyanocitta cristata
22081	Cyanocitta cristata
22063	Cyanocitta cristata
22125	Cyanocitta cristata
35013	Corvus corax
35006	Corvus corax
35045	Corvus corax
35007	Pica hudsonia
40087	Corvus brachyrhynchos
40073	Corvus brachyrhynchos
40057	Corvus corax
40093	Corvus brachyrhynchos
40095	Corvus brachyrhynchos
40107	Corvus brachyrhynchos
40113	Corvus brachyrhynchos
40009	Corvus brachyrhynchos
40019	Cyanocitta cristata
40127	Corvus brachyrhynchos
40011	Corvus brachyrhynchos
40137	Cyanocitta cristata
40149	Corvus brachyrhynchos
40083	Corvus brachyrhynchos
40119	Corvus brachyrhynchos
40069	Corvus brachyrhynchos
40037	Corvus brachyrhynchos
5095	Corvus ossifragus
5037	Cyanocitta cristata
5031	Cyanocitta cristata
5065	Corvus brachyrhynchos
22093	Cyanocitta cristata
22107	Cyanocitta cristata
22099	Cyanocitta cristata
35001	Corvus corax
35049	Corvus corax
35055	Pica hudsonia
40005	Corvus brachyrhynchos
40053	Corvus brachyrhynchos
40007	Pica hudsonia
40013	Cyanocitta cristata
48269	Cyanocitta cristata
48357	Pica hudsonia
5091	Corvus brachyrhynchos
5117	Corvus ossifragus
35029	Corvus corax
40109	Corvus brachyrhynchos
1049	Corvus brachyrhynchos
1013	Cyanocitta cristata
17043	Cyanocitta cristata
53033	Perisoreus canadensis
19015	Corvus brachyrhynchos
20111	Cyanocitta cristata
20187	Aphelocoma californica
20207	Cyanocitta cristata
20049	Cyanocitta cristata
20113	Cyanocitta cristata
20115	Cyanocitta cristata
27145	Corvus brachyrhynchos
48461	Cyanocitta cristata
48469	Cyanocorax yncas
48355	Cyanocorax yncas
48231	Cyanocitta cristata
48341	Pica hudsonia
48401	Cyanocitta cristata
48159	Cyanocitta cristata
48365	Cyanocitta cristata
48063	Cyanocitta cristata
48035	Cyanocitta cristata
48247	Cyanocorax yncas
48075	Cyanocitta cristata
48345	Cyanocitta cristata
48433	Cyanocitta cristata
48193	Cyanocitta cristata
48479	Cyanocorax yncas
48135	Cyanocitta cristata
48137	Aphelocoma californica
48153	Cyanocitta cristata
48131	Cyanocorax yncas
48089	Cyanocitta cristata
48077	Cyanocitta cristata
48259	Aphelocoma californica
48279	Cyanocitta cristata
48419	Cyanocitta cristata
48387	Cyanocitta cristata
48487	Cyanocitta cristata
48477	Corvus brachyrhynchos
48453	Aphelocoma californica
48465	Aphelocoma californica
48093	Corvus brachyrhynchos
48203	Cyanocitta cristata
48215	Cyanocorax yncas
48317	Cyanocitta cristata
48165	Cyanocitta cristata
48179	Pica hudsonia
48189	Cyanocitta cristata
48005	Cyanocitta cristata
48141	Aphelocoma californica
48467	Cyanocitta cristata
48301	Cyanocitta stelleri
48037	Cyanocitta cristata
48309	Cyanocitta cristata
48503	Cyanocitta cristata
48325	Cyanocorax yncas
48205	Corvus cryptoleucus
48211	Pica hudsonia
48157	Cyanocitta cristata
48055	Corvus brachyrhynchos
48167	Cyanocitta cristata
48053	Aphelocoma californica
48235	Cyanocitta cristata
48123	Cyanocorax yncas
48027	Corvus brachyrhynchos
48505	Cyanocorax yncas
48079	Cyanocitta cristata
48091	Aphelocoma californica
48071	Cyanocitta cristata
48073	Cyanocitta cristata
48111	Corvus cryptoleucus
48489	Cyanocorax yncas
48485	Cyanocitta cristata
48507	Cyanocorax yncas
48443	Aphelocoma wollweberi
48349	Corvus brachyrhynchos
48471	Corvus brachyrhynchos
48475	Aphelocoma californica
48363	Cyanocitta cristata
48397	Cyanocitta cristata
48403	Cyanocitta cristata
48239	Cyanocitta cristata
48271	Cyanocorax yncas
48367	Cyanocitta cristata
48003	Cyanocitta cristata
48023	Cyanocitta cristata
48001	Corvus brachyrhynchos
48007	Cyanocorax yncas
48117	Pica hudsonia
48031	Aphelocoma californica
48009	Cyanocitta cristata
48047	Cyanocorax yncas
48057	Cyanocorax yncas
48105	Aphelocoma californica
48067	Cyanocitta cristata
48069	Cyanocitta cristata
48107	Cyanocitta cristata
48371	Aphelocoma californica
48435	Aphelocoma californica
48249	Cyanocorax yncas
48013	Cyanocorax yncas
48085	Cyanocitta cristata
48343	Cyanocitta cristata
48101	Cyanocitta cristata
48347	Cyanocitta cristata
48429	Corvus brachyrhynchos
48293	Corvus brachyrhynchos
48437	Cyanocitta cristata
48501	Cyanocitta cristata
48029	Aphelocoma californica
48201	Cyanocitta cristata
48483	Pica hudsonia
48097	Cyanocitta cristata
48315	Cyanocitta cristata
48321	Cyanocitta cristata
48481	Cyanocitta cristata
48065	Pica hudsonia
35025	Cyanocitta stelleri
35027	Corvus corax
35037	Aphelocoma californica
35057	Corvus corax
35019	Aphelocoma californica
35041	Aphelocoma californica
35059	Aphelocoma californica
35039	Pica hudsonia
35003	Corvus corax
35031	Corvus corax
35009	Pica hudsonia
35035	Cyanocitta stelleri
35028	Corvus corax
35033	Pica hudsonia
35047	Pica hudsonia
40075	Cyanocitta cristata
40117	Corvus brachyrhynchos
40147	Corvus brachyrhynchos
40071	Corvus brachyrhynchos
40085	Cyanocitta cristata
40055	Corvus corax
40067	Cyanocitta cristata
40079	Corvus brachyrhynchos
40065	Cyanocitta cristata
40047	Corvus brachyrhynchos
40031	Cyanocitta cristata
40033	Cyanocitta cristata
40027	Corvus brachyrhynchos
40017	Corvus brachyrhynchos
40139	Pica hudsonia
40051	Corvus brachyrhynchos
40141	Cyanocitta cristata
40125	Corvus brachyrhynchos
40023	Corvus brachyrhynchos
40003	Corvus brachyrhynchos
40103	Corvus brachyrhynchos
40089	Corvus brachyrhynchos
40015	Corvus brachyrhynchos
40025	Aphelocoma californica
5137	Corvus brachyrhynchos
5145	Corvus brachyrhynchos
5009	Corvus brachyrhynchos
5029	Corvus brachyrhynchos
5071	Cyanocitta cristata
5017	Corvus ossifragus
5033	Cyanocitta cristata
5105	Corvus brachyrhynchos
5129	Corvus brachyrhynchos
5061	Corvus brachyrhynchos
5047	Cyanocitta cristata
5089	Corvus brachyrhynchos
5085	Corvus ossifragus
5069	Corvus ossifragus
5123	Corvus ossifragus
5041	Corvus ossifragus
5131	Cyanocitta cristata
5023	Corvus brachyrhynchos
5133	Corvus brachyrhynchos
5073	Cyanocitta cristata
5101	Cyanocitta cristata
5127	Cyanocitta cristata
5077	Corvus ossifragus
5005	Corvus brachyrhynchos
22035	Cyanocitta cristata
22037	Cyanocitta cristata
22003	Corvus brachyrhynchos
22009	Cyanocitta cristata
22011	Corvus brachyrhynchos
22019	Corvus brachyrhynchos
22071	Corvus brachyrhynchos
22039	Cyanocitta cristata
22087	Corvus brachyrhynchos
22051	Corvus brachyrhynchos
22117	Corvus brachyrhynchos
22075	Corvus brachyrhynchos
22101	Cyanocitta cristata
22109	Cyanocitta cristata
22001	Cyanocitta cristata
22045	Cyanocitta cristata
22053	Corvus brachyrhynchos
22015	Cyanocitta cristata
22057	Corvus brachyrhynchos
22041	Cyanocitta cristata
22007	Cyanocitta cristata
22077	Cyanocitta cristata
22115	Corvus brachyrhynchos
22105	Corvus brachyrhynchos
40143	Corvus brachyrhynchos
35011	Aphelocoma californica
35017	Corvus corax
22005	Cyanocitta cristata
48021	Corvus brachyrhynchos
48015	Cyanocitta cristata
48197	Cyanocitta cristata
48473	Cyanocitta cristata
48195	Pica hudsonia
48379	Cyanocitta cristata
48407	Corvus brachyrhynchos
48427	Cyanocorax yncas
48207	Cyanocitta cristata
48209	Aphelocoma californica
48383	Cyanocitta cristata
48115	Cyanocitta cristata
48169	Cyanocitta cristata
48313	Corvus brachyrhynchos
48187	Aphelocoma californica
48495	Cyanocitta cristata
48395	Corvus brachyrhynchos
48415	Cyanocitta cristata
48451	Aphelocoma californica
48409	Cyanocorax yncas
48217	Cyanocitta cristata
48329	Cyanocitta cristata
48337	Cyanocitta cristata
48449	Cyanocitta cristata
48361	Cyanocitta cristata
48121	Cyanocitta cristata
48119	Cyanocitta cristata
48185	Corvus brachyrhynchos
48221	Cyanocitta cristata
48233	Pica hudsonia
48041	Corvus brachyrhynchos
48243	Aphelocoma californica
48199	Cyanocitta cristata
48245	Cyanocitta cristata
48377	Corvus corax
48099	Corvus corax
48223	Corvus brachyrhynchos
48227	Cyanocitta cristata
48307	Aphelocoma californica
48125	Cyanocitta cristata
48265	Aphelocoma californica
48295	Pica hudsonia
48283	Cyanocorax yncas
48285	Corvus brachyrhynchos
48287	Corvus brachyrhynchos
48177	Cyanocitta cristata
48219	Cyanocitta cristata
48251	Cyanocitta cristata
48267	Aphelocoma californica
48255	Cyanocorax yncas
48319	Aphelocoma californica
48059	Corvus brachyrhynchos
48191	Cyanocitta cristata
48263	Cyanocitta cristata
48175	Cyanocorax yncas
48421	Pica hudsonia
48303	Cyanocitta cristata
48273	Cyanocorax yncas
48181	Cyanocitta cristata
48095	Aphelocoma californica
48339	Corvus brachyrhynchos
48133	Corvus brachyrhynchos
48305	Cyanocitta cristata
48143	Cyanocitta cristata
48389	Aphelocoma californica
48423	Cyanocitta cristata
48145	Corvus brachyrhynchos
48147	Cyanocitta cristata
48149	Corvus brachyrhynchos
48155	Cyanocitta cristata
48161	Corvus brachyrhynchos
48333	Corvus corax
48043	Aphelocoma wollweberi
48045	Cyanocitta cristata
48369	Cyanocitta cristata
48393	Pica hudsonia
48275	Cyanocitta cristata
48289	Corvus brachyrhynchos
48385	Aphelocoma californica
48171	Aphelocoma californica
48459	Cyanocitta cristata
48213	Cyanocitta cristata
48225	Corvus brachyrhynchos
48237	Cyanocitta cristata
48261	Cyanocorax yncas
48359	Corvus cryptoleucus
48291	Cyanocitta cristata
48299	Aphelocoma californica
48499	Cyanocitta cristata
48277	Cyanocitta cristata
48257	Cyanocitta cristata
48109	Aphelocoma californica
48241	Cyanocitta cristata
48033	Cyanocitta cristata
48103	Cyanocitta cristata
48049	Corvus brachyrhynchos
48019	Aphelocoma californica
48051	Corvus brachyrhynchos
48163	Cyanocorax yncas
48173	Cyanocitta cristata
48183	Cyanocitta cristata
48391	Cyanocorax yncas
48297	Cyanocorax yncas
48445	Cyanocitta cristata
48413	Aphelocoma californica
48417	Corvus brachyrhynchos
48425	Cyanocitta cristata
48455	Corvus brachyrhynchos
48493	Cyanocorax yncas
48017	Cyanocitta cristata
48323	Cyanocorax yncas
48405	Cyanocitta cristata
48351	Corvus brachyrhynchos
48229	Aphelocoma californica
48113	Cyanocitta cristata
48139	Cyanocitta cristata
48127	Cyanocorax yncas
48311	Cyanocorax yncas
48253	Corvus brachyrhynchos
48281	Corvus corax
48327	Aphelocoma californica
48375	Pica hudsonia
48447	Cyanocitta cristata
48497	Cyanocitta cristata
48463	Cyanocorax yncas
48439	Cyanocitta cristata
48373	Cyanocitta cristata
48431	Cyanocitta cristata
48039	Cyanocitta cristata
48331	Corvus brachyrhynchos
48411	Aphelocoma californica
48025	Cyanocorax yncas
39151	Cyanocitta cristata
11001	Cyanocitta cristata
27063	Cyanocitta cristata
27039	Corvus brachyrhynchos
37093	Corvus brachyrhynchos
48491	Corvus brachyrhynchos
6097	Aphelocoma californica
56011	Corvus brachyrhynchos
56021	Pica hudsonia
56045	Pica hudsonia
56039	Pica hudsonia
56003	Pica hudsonia
30043	Pica hudsonia
30015	Nucifraga columbiana
30017	Pica hudsonia
30009	Pica hudsonia
30055	Pica hudsonia
30093	Pica hudsonia
30003	Pica hudsonia
27157	Corvus brachyrhynchos
23029	Corvus brachyrhynchos
