id	species
5113	Alligator mississippiensis
5115	Chelydra serpentina
5097	Alligator mississippiensis
5083	Chelydra serpentina
5143	Chelydra serpentina
5103	Chelydra serpentina
5119	Chelydra serpentina
5025	Chelydra serpentina
5093	Terrapene carolina
5057	Anolis carolinensis
5043	Anolis carolinensis
5045	Terrapene carolina
5063	Terrapene carolina
5111	Terrapene carolina
5109	Alligator mississippiensis
5149	Chelydra serpentina
5087	Chelydra serpentina
5035	Terrapene carolina
5051	Chelydra serpentina
5007	Chelydra serpentina
5053	Chelydra serpentina
5081	Alligator mississippiensis
24027	Chrysemys picta
22047	Alligator mississippiensis
22055	Anolis carolinensis
22049	Anolis carolinensis
22021	Anolis carolinensis
22069	Anolis carolinensis
22073	Anolis carolinensis
22113	Anolis carolinensis
22119	Anolis carolinensis
22027	Anolis carolinensis
22085	Anolis carolinensis
22079	Anolis carolinensis
22029	Alligator mississippiensis
22031	Anolis carolinensis
22081	Anolis carolinensis
22063	Alligator mississippiensis
22125	Thamnophis sirtalis
35013	Crotalus atrox
35006	Crotalus atrox
35045	Crotalus atrox
35007	Chelydra serpentina
40087	Chelydra serpentina
40073	Chelydra serpentina
40043	Chelydra serpentina
40057	Crotalus atrox
40095	Terrapene carolina
40107	Chelydra serpentina
40113	Terrapene carolina
40009	Crotalus atrox
40019	Crotalus atrox
40127	Alligator mississippiensis
40011	Chelydra serpentina
40135	Alligator mississippiensis
40137	Crotalus atrox
40149	Chelydra serpentina
40083	Chelydra serpentina
40119	Chelydra serpentina
40069	Chelydra serpentina
40037	Chelydra serpentina
40129	Chelydra serpentina
5037	Terrapene carolina
5019	Chelydra serpentina
5031	Terrapene carolina
5065	Terrapene carolina
22093	Alligator mississippiensis
22107	Alligator mississippiensis
22099	Alligator mississippiensis
22067	Anolis carolinensis
35001	Crotalus atrox
35049	Crotalus atrox
35055	Crotalus atrox
40153	Chelydra serpentina
40005	Alligator mississippiensis
40053	Chelydra serpentina
40007	Chelydra serpentina
40045	Chelydra serpentina
40013	Chelydra serpentina
48269	Crotalus atrox
48357	Chelydra serpentina
5091	Anolis carolinensis
35029	Crotalus atrox
40109	Chelydra serpentina
1049	Thamnophis sirtalis
1013	Anolis carolinensis
17043	Chelydra serpentina
53033	Sceloporus occidentalis
19015	Thamnophis sirtalis
19139	Chelydra serpentina
20111	Chelydra serpentina
20207	Chelydra serpentina
20049	Chelydra serpentina
20113	Chelydra serpentina
20115	Chelydra serpentina
27145	Chelydra serpentina
48461	Crotalus atrox
48469	Alligator mississippiensis
48355	Crotalus atrox
48231	Chelydra serpentina
48341	Chelydra serpentina
48401	Anolis carolinensis
48159	Anolis carolinensis
48365	Anolis carolinensis
48063	Anolis carolinensis
48035	Crotalus atrox
48247	Crotalus atrox
48075	Crotalus atrox
48345	Crotalus atrox
48433	Crotalus atrox
48193	Crotalus atrox
48479	Crotalus atrox
48135	Crotalus atrox
48137	Crotalus atrox
48153	Crotalus atrox
48131	Crotalus atrox
48089	Alligator mississippiensis
48077	Crotalus atrox
48151	Crotalus atrox
48259	Anolis carolinensis
48279	Crotalus atrox
48419	Anolis carolinensis
48387	Anolis carolinensis
48487	Crotalus atrox
48477	Anolis carolinensis
48453	Anolis carolinensis
48465	Crotalus atrox
48093	Crotalus atrox
48203	Anolis carolinensis
48215	Crotalus atrox
48317	Crotalus atrox
48165	Crotalus atrox
48179	Crotalus atrox
48189	Crotalus atrox
48005	Anolis carolinensis
48141	Crotalus atrox
48467	Anolis carolinensis
48301	Crotalus atrox
48037	Anolis carolinensis
48309	Crotalus atrox
48503	Crotalus atrox
48325	Crotalus atrox
48205	Chelydra serpentina
48211	Chelydra serpentina
48157	Anolis carolinensis
48055	Anolis carolinensis
48167	Anolis carolinensis
48053	Crotalus atrox
48235	Crotalus atrox
48123	Crotalus atrox
48027	Crotalus atrox
48505	Crotalus atrox
48079	Crotalus atrox
48091	Anolis carolinensis
48071	Anolis carolinensis
48073	Anolis carolinensis
48111	Chelydra serpentina
48489	Crotalus atrox
48485	Crotalus atrox
48507	Crotalus atrox
48443	Crotalus atrox
48349	Chelydra serpentina
48471	Anolis carolinensis
48475	Crotalus atrox
48363	Crotalus atrox
48397	Chelydra serpentina
48403	Anolis carolinensis
48239	Alligator mississippiensis
48271	Crotalus atrox
48353	Crotalus atrox
48367	Crotalus atrox
48003	Crotalus atrox
48023	Crotalus atrox
48001	Anolis carolinensis
48007	Alligator mississippiensis
48117	Crotalus atrox
48031	Crotalus atrox
48009	Crotalus atrox
48081	Crotalus atrox
48047	Crotalus atrox
48011	Crotalus atrox
48057	Alligator mississippiensis
48105	Crotalus atrox
48067	Anolis carolinensis
48069	Crotalus atrox
48107	Crotalus atrox
48371	Crotalus atrox
48435	Crotalus atrox
48249	Crotalus atrox
48013	Crotalus atrox
48085	Chelydra serpentina
48343	Anolis carolinensis
48101	Crotalus atrox
48347	Anolis carolinensis
48429	Crotalus atrox
48293	Anolis carolinensis
48437	Crotalus atrox
48501	Crotalus atrox
48029	Anolis carolinensis
48201	Anolis carolinensis
48483	Crotalus atrox
48097	Crotalus atrox
48315	Anolis carolinensis
48321	Alligator mississippiensis
48481	Alligator mississippiensis
48065	Crotalus atrox
35025	Crotalus atrox
35027	Crotalus atrox
35037	Crotalus atrox
35057	Crotalus atrox
35019	Crotalus atrox
35041	Crotalus atrox
35059	Chelydra serpentina
35039	Crotalus atrox
35003	Crotalus atrox
35031	Crotalus atrox
35009	Crotalus atrox
35035	Crotalus atrox
35028	Crotalus atrox
35033	Crotalus atrox
35047	Crotalus atrox
40075	Chelydra serpentina
40117	Chelydra serpentina
40111	Terrapene carolina
40131	Terrapene carolina
40147	Terrapene carolina
40145	Terrapene carolina
40151	Chelydra serpentina
40071	Chelydra serpentina
40085	Crotalus atrox
40055	Crotalus atrox
40067	Crotalus atrox
40077	Alligator mississippiensis
40079	Alligator mississippiensis
40065	Crotalus atrox
40047	Terrapene carolina
40031	Crotalus atrox
40061	Alligator mississippiensis
40033	Crotalus atrox
40027	Chelydra serpentina
40017	Chelydra serpentina
40139	Chelydra serpentina
40051	Chelydra serpentina
40141	Crotalus atrox
40125	Chelydra serpentina
40023	Alligator mississippiensis
40103	Terrapene carolina
40089	Alligator mississippiensis
40015	Chelydra serpentina
40025	Chelydra serpentina
5137	Terrapene carolina
5145	Terrapene carolina
5009	Terrapene carolina
5029	Chelydra serpentina
5071	Chelydra serpentina
5017	Anolis carolinensis
5033	Chelydra serpentina
5105	Chelydra serpentina
5129	Chelydra serpentina
5139	Anolis carolinensis
5061	Alligator mississippiensis
5047	Chelydra serpentina
5089	Terrapene carolina
5085	Terrapene carolina
5123	Terrapene carolina
5011	Anolis carolinensis
5131	Chelydra serpentina
5023	Terrapene carolina
5133	Alligator mississippiensis
5073	Anolis carolinensis
5003	Anolis carolinensis
5101	Chelydra serpentina
5127	Alligator mississippiensis
5027	Anolis carolinensis
5077	Terrapene carolina
5005	Terrapene carolina
22035	Alligator mississippiensis
22037	Alligator mississippiensis
22043	Anolis carolinensis
22003	Anolis carolinensis
22009	Anolis carolinensis
22011	Anolis carolinensis
22019	Alligator mississippiensis
22071	Alligator mississippiensis
22039	Anolis carolinensis
22087	Alligator mississippiensis
22051	Alligator mississippiensis
22117	Alligator mississippiensis
22075	Alligator mississippiensis
22101	Alligator mississippiensis
22109	Alligator mississippiensis
22001	Anolis carolinensis
22045	Alligator mississippiensis
22053	Anolis carolinensis
22015	Anolis carolinensis
22111	Anolis carolinensis
22057	Alligator mississippiensis
22041	Alligator mississippiensis
22007	Alligator mississippiensis
22083	Anolis carolinensis
22077	Alligator mississippiensis
22061	Anolis carolinensis
22059	Anolis carolinensis
40059	Chelydra serpentina
22123	Anolis carolinensis
22115	Anolis carolinensis
22105	Alligator mississippiensis
40143	Terrapene carolina
35011	Crotalus atrox
35017	Crotalus atrox
22005	Alligator mississippiensis
48021	Anolis carolinensis
48015	Anolis carolinensis
48197	Crotalus atrox
48129	Crotalus atrox
48473	Anolis carolinensis
48195	Chelydra serpentina
48381	Crotalus atrox
48379	Anolis carolinensis
48407	Anolis carolinensis
48427	Crotalus atrox
48207	Crotalus atrox
48209	Anolis carolinensis
48383	Crotalus atrox
48115	Crotalus atrox
48169	Crotalus atrox
48313	Anolis carolinensis
48187	Anolis carolinensis
48495	Crotalus atrox
48395	Anolis carolinensis
48415	Crotalus atrox
48451	Crotalus atrox
48409	Crotalus atrox
48217	Anolis carolinensis
48329	Crotalus atrox
48337	Crotalus atrox
48449	Anolis carolinensis
48361	Anolis carolinensis
48121	Chelydra serpentina
48119	Anolis carolinensis
48185	Anolis carolinensis
48221	Crotalus atrox
48233	Chelydra serpentina
48041	Anolis carolinensis
48243	Crotalus atrox
48199	Anolis carolinensis
48245	Anolis carolinensis
48377	Crotalus atrox
48099	Crotalus atrox
48223	Anolis carolinensis
48227	Crotalus atrox
48307	Crotalus atrox
48125	Crotalus atrox
48265	Crotalus atrox
48295	Chelydra serpentina
48283	Crotalus atrox
48285	Anolis carolinensis
48287	Anolis carolinensis
48177	Anolis carolinensis
48219	Crotalus atrox
48251	Crotalus atrox
48267	Crotalus atrox
48255	Crotalus atrox
48319	Crotalus atrox
48059	Crotalus atrox
48191	Crotalus atrox
48263	Crotalus atrox
48175	Crotalus atrox
48421	Chelydra serpentina
48303	Crotalus atrox
48273	Crotalus atrox
48181	Chelydra serpentina
48095	Crotalus atrox
48339	Anolis carolinensis
48133	Crotalus atrox
48305	Crotalus atrox
48143	Crotalus atrox
48389	Crotalus atrox
48441	Crotalus atrox
48423	Anolis carolinensis
48145	Anolis carolinensis
48147	Chelydra serpentina
48149	Anolis carolinensis
48155	Crotalus atrox
48161	Anolis carolinensis
48333	Crotalus atrox
48043	Crotalus atrox
48045	Crotalus atrox
48369	Crotalus atrox
48393	Chelydra serpentina
48399	Crotalus atrox
48275	Crotalus atrox
48289	Anolis carolinensis
48385	Crotalus atrox
48171	Crotalus atrox
48459	Anolis carolinensis
48213	Anolis carolinensis
48225	Anolis carolinensis
48237	Crotalus atrox
48261	Crotalus atrox
48359	Chelydra serpentina
48291	Anolis carolinensis
48299	Crotalus atrox
48499	Anolis carolinensis
48277	Chelydra serpentina
48257	Chelydra serpentina
48109	Crotalus atrox
48241	Anolis carolinensis
48033	Crotalus atrox
48103	Crotalus atrox
48049	Crotalus atrox
48019	Crotalus atrox
48051	Anolis carolinensis
48087	Crotalus atrox
48083	Crotalus atrox
48163	Crotalus atrox
48173	Crotalus atrox
48183	Anolis carolinensis
48391	Alligator mississippiensis
48297	Crotalus atrox
48445	Crotalus atrox
48413	Crotalus atrox
48417	Crotalus atrox
48425	Crotalus atrox
