county_name	geoid	url	obs_count	iconic_taxon	common_name	sci_name	photo	photo_attribution	critter_obs_count
Polk County, AR	5113	http://www.inaturalist.org/observations?place_id=2130	32	20978	Rich Mountain Salamander	Plethodon ouachitae	http://farm8.staticflickr.com/7247/6929694418_92d593ff53_s.jpg	(c) John Clare, some rights reserved (CC BY-NC-ND)	3
Pope County, AR	5115	http://www.inaturalist.org/observations?place_id=2132	29	47126	Sweet Black-eyed Susan	Rudbeckia subtomentosa	https://farm8.staticflickr.com/7355/12223528145_a6eb2f0101_s.jpg	(c) rachelgreenbelt, some rights reserved (CC BY-NC-SA)	3
Montgomery County, AR	5097	http://www.inaturalist.org/observations?place_id=2133	62	47158	Spangled Skimmer	Libellula cyanea	http://farm6.staticflickr.com/5232/5895572296_af1ff99d4a_s.jpg	(c) John B., some rights reserved (CC BY)	5
Logan County, AR	5083	http://www.inaturalist.org/observations?place_id=2136	47	47158	Luna Moth	Actias luna	http://farm4.staticflickr.com/3468/3736218753_333719d3b4_s.jpg	(c) Patrick, some rights reserved (CC BY)	2
Washington County, AR	5143	http://www.inaturalist.org/observations?place_id=2162	65	26036	Three-toed Box Turtle	Terrapene carolina triunguis	http://farm2.staticflickr.com/1251/560600301_770765e161_s.jpg	(c) dcp, some rights reserved (CC BY-NC-ND)	2
Ouachita County, AR	5103	http://www.inaturalist.org/observations?place_id=2317	29	47126		Astragalus soxmaniorum			3
Clay County, AR	5021	http://www.inaturalist.org/observations?place_id=2594	2	47126	Trifoliate Orange	Poncirus trifoliata	http://farm5.staticflickr.com/4128/5023312859_9a33459ac8_s.jpg	(c) Leonora Enking, some rights reserved (CC BY-SA)	1
Pulaski County, AR	5119	http://www.inaturalist.org/observations?place_id=694	943	40151	Virginia Whitetailed Deer	Odocoileus virginianus virginianus	http://farm6.static.flickr.com/5210/5256817826_47ba7bb6f0_s.jpg	(c) Becky Gregory, some rights reserved (CC BY-ND)	19
Cleveland County, AR	5025	http://www.inaturalist.org/observations?place_id=773	33	47126	Plains coreopsis	Coreopsis tinctoria	http://farm2.staticflickr.com/1290/538147015_f957521058_s.jpg	(c) Lisa Brown, some rights reserved (CC BY-NC)	2
Randolph County, AR	5121	http://www.inaturalist.org/observations?place_id=774	21	47126	Box Elder	Acer negundo	http://farm4.staticflickr.com/3204/2432353846_86b1e755be_s.jpg	(c) Salomé, some rights reserved (CC BY-NC-SA)	1
Mississippi County, AR	5093	http://www.inaturalist.org/observations?place_id=932	0	0	0	0	0	0	0
Hempstead County, AR	5057	http://www.inaturalist.org/observations?place_id=1015	51	47158	Large Milkweed Bug	Oncopeltus fasciatus	http://static.inaturalist.org/photos/351035/square.jpg?1370015438	(c) greglasley, some rights reserved (CC BY-NC), uploaded by Greg Lasley	2
Woodruff County, AR	5147	http://www.inaturalist.org/observations?place_id=1242	5	20978	Central Newt	Notophthalmus viridescens louisianensis	http://static.inaturalist.org/photos/531566/square.jpg?1381207635	(c) John Sullivan, some rights reserved (CC BY-NC)	2
Drew County, AR	5043	http://www.inaturalist.org/observations?place_id=1313	3	47126	Wooly Croton	Croton capitatus	http://static.inaturalist.org/photos/54535/square.jpg?1444404001	(c) Eric Hunt, all rights reserved	1
Phillips County, AR	5107	http://www.inaturalist.org/observations?place_id=1473	11	47126	Black willow	Salix nigra	http://farm4.staticflickr.com/3603/3594438316_49606fc6a4_s.jpg	(c) Dan Mullen, some rights reserved (CC BY-NC-ND)	2
Faulkner County, AR	5045	http://www.inaturalist.org/observations?place_id=2061	51	20978	Cajun Chorus Frog	Pseudacris fouquettei	http://static.inaturalist.org/photos/43129/square.JPG	(c) mikeygraz, all rights reserved, uploaded by Michael Graziano	4
Independence County, AR	5063	http://www.inaturalist.org/observations?place_id=2062	25	20978	Cave Salamander	Eurycea lucifuga	http://farm4.staticflickr.com/3339/3430956355_119904b9eb_s.jpg	(c) Douglas Mills, some rights reserved (CC BY-NC-ND)	1
Poinsett County, AR	5111	http://www.inaturalist.org/observations?place_id=2065	56	47158	Longhorn Beetles	Cerambycidae	http://static.inaturalist.org/photos/50571/square.jpg?1444394118	(c) Franco Folini, some rights reserved (CC BY-SA)	4
Pike County, AR	5109	http://www.inaturalist.org/observations?place_id=2093	3	47126	Japanese honeysuckle	Lonicera japonica	http://farm6.staticflickr.com/5008/5222058246_c0863bf499_s.jpg	(c) CameliaTWU (away for a while), some rights reserved (CC BY-NC-ND)	1
Yell County, AR	5149	http://www.inaturalist.org/observations?place_id=1602	20	47126	Leafcup	Polymnia canadensis	https://farm4.staticflickr.com/3745/9419888622_51f74ee327_s.jpg	(c) Tom Potterfield, some rights reserved (CC BY-NC-SA)	4
Madison County, AR	5087	http://www.inaturalist.org/observations?place_id=204	2	26036	Three-toed Box Turtle	Terrapene carolina triunguis	http://farm2.staticflickr.com/1251/560600301_770765e161_s.jpg	(c) dcp, some rights reserved (CC BY-NC-ND)	1
Crittenden County, AR	5035	http://www.inaturalist.org/observations?place_id=434	13	47158	Southern Spreadwing	Lestes australis	http://farm3.staticflickr.com/2283/5798058943_9063d186fa_s.jpg	(c) Anthony Zukoff, some rights reserved (CC BY-NC-SA)	2
Garland County, AR	5051	http://www.inaturalist.org/observations?place_id=2599	55	20978	Ouachita Dusky Salamander	Desmognathus brimleyorum	http://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Desmognathus_brimleyorum.jpg/75px-Desmognathus_brimleyorum.jpg	(c) Stanley Trauth, some rights reserved (CC BY-SA)	2
Benton County, AR	5007	http://www.inaturalist.org/observations?place_id=2601	74	47126	Flowering dogwood	Cornus florida	http://farm1.staticflickr.com/45/141407237_73021caf10_s.jpg	(c) Eric in SF, some rights reserved (CC BY-NC-ND)	3
Grant County, AR	5053	http://www.inaturalist.org/observations?place_id=2602	0	0	0	0	0	0	0
Little River County, AR	5081	http://www.inaturalist.org/observations?place_id=1474	76	3	Ruby-crowned Kinglet	Regulus calendula	http://farm6.staticflickr.com/5242/5214434381_3ccb23b5ec_s.jpg	(c) Dan Pancamo, some rights reserved (CC BY-SA)	3
Howard County, Maryland	24027	http://www.inaturalist.org/observations?place_id=48820	3894	47126	Tulip tree	Liriodendron tulipifera	http://farm4.staticflickr.com/3045/2497130069_b54bf84eb8_s.jpg	(c) Aydin Ã–rstan, some rights reserved (CC BY-NC-ND)	38
Iberville County, LA	22047	http://www.inaturalist.org/observations?place_id=124	25	47126	Arrowheads	Sagittaria	http://farm3.staticflickr.com/2600/4161280909_931e0b1c50_s.jpg	(c) Kai Yan,  Joseph Wong, some rights reserved (CC BY-NC-SA)	2
Lafayette County, LA	22055	http://www.inaturalist.org/observations?place_id=125	588	47158	Wheel Bug	Arilus cristatus	http://farm4.staticflickr.com/3043/3044551839_d8ee483271_s.jpg	(c) Patrick Coin, some rights reserved (CC BY-NC-SA)	6
Jackson County, LA	22049	http://www.inaturalist.org/observations?place_id=1049	12	26036	Prairie Lizard	Sceloporus consobrinus	http://static.inaturalist.org/photos/303640/square.jpg?1444573471	(c) Eric Isley, all rights reserved	2
Caldwell County, LA	22021	http://www.inaturalist.org/observations?place_id=1451	53	47126		Halesia diptera	http://static.inaturalist.org/photos/1145856/square.jpg?1411939797	(c) Laura Clark, some rights reserved (CC BY-NC)	3
Natchitoches County, LA	22069	http://www.inaturalist.org/observations?place_id=1452	146	47158	Sarracenia Spiketail	Cordulegaster sarracenia	http://static.inaturalist.org/photos/282413/square.jpg?1364468992	(c) greglasley, some rights reserved (CC BY-NC), uploaded by Greg Lasley	7
Ouachita County, LA	22073	http://www.inaturalist.org/observations?place_id=1619	1131	47126	Chinese tallowtree	Triadica sebifera	http://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Triadica_sebifera2.jpg/75px-Triadica_sebifera2.jpg	(c) KENPEI, some rights reserved (CC BY-SA)	13
Vermilion County, LA	22113	http://www.inaturalist.org/observations?place_id=1620	19	3	Brown Thrasher	Toxostoma rufum	http://farm4.staticflickr.com/3181/2860731712_01c001f831_s.jpg	(c) Jerry Oldenettel, some rights reserved (CC BY-NC-SA)	1
Webster County, LA	22119	http://www.inaturalist.org/observations?place_id=1621	40	3	Killdeer	Charadrius vociferus	http://farm1.staticflickr.com/114/287782863_4b0e6cface_s.jpg	(c) Stewart Ho, some rights reserved (CC BY-NC-ND)	1
Claiborne County, LA	22027	http://www.inaturalist.org/observations?place_id=1641	54	47170	Boletes	Boletaceae	http://static.inaturalist.org/photos/7298/square.jpg?1444271373	(c) Anita, some rights reserved (CC BY-NC)	2
Sabine County, LA	22085	http://www.inaturalist.org/observations?place_id=2342	8	3	Canada Goose	Branta canadensis	http://farm4.staticflickr.com/3094/2522129603_3386a56259_s.jpg	(c) Diane, some rights reserved (CC BY-NC-ND)	1
Rapides County, LA	22079	http://www.inaturalist.org/observations?place_id=2369	45	47158	Ebony Jewelwing	Calopteryx maculata	http://static.inaturalist.org/photos/15605/square.jpg?1444289101	(c) Anita, some rights reserved (CC BY-NC-SA)	2
Concordia County, LA	22029	http://www.inaturalist.org/observations?place_id=2473	0	0	0	0	0	0	0
De Soto County, LA	22031	http://www.inaturalist.org/observations?place_id=2684	1	26036	American Alligator	Alligator mississippiensis	http://farm4.staticflickr.com/3354/3414352585_2a746476c6_s.jpg	(c) Ryan Somma, some rights reserved (CC BY-SA)	1
Red River County, LA	22081	http://www.inaturalist.org/observations?place_id=2787	120	47158	Citrine Forktail	Ischnura hastata	http://static.inaturalist.org/photos/91221/square.JPG	(c) hartvillestuff, some rights reserved (CC BY-ND), uploaded by Kent Miller	7
Livingston County, LA	22063	http://www.inaturalist.org/observations?place_id=1642	111	47126	Cardinal flower	Lobelia cardinalis	http://farm4.staticflickr.com/3579/3799442162_76100cf8c8_s.jpg	(c) Steve Guttman, some rights reserved (CC BY-NC-ND)	4
West Feliciana County, LA	22125	http://www.inaturalist.org/observations?place_id=1645	58	26036	Timber Rattlesnake	Crotalus horridus	http://farm1.staticflickr.com/216/484186958_821c8f7e99_s.jpg	(c) Tad Arensmeier, some rights reserved (CC BY)	3
Dona Ana County, NM	35013	http://www.inaturalist.org/observations?place_id=2389	158	3	Say's Phoebe	Sayornis saya	http://static.inaturalist.org/photos/3093/square.jpg?1444494233	(c) Dmitry Mozzherin, some rights reserved (CC BY-NC-SA), uploaded by dimus	5
Cibola County, NM	35006	http://www.inaturalist.org/observations?place_id=2709	21	3	Pinyon Jay	Gymnorhinus cyanocephalus	http://farm4.staticflickr.com/3252/3156549273_655628c6e7_s.jpg	(c) Richard Johnson, some rights reserved (CC BY-NC-SA)	1
San Juan County, NM	35045	http://www.inaturalist.org/observations?place_id=2722	77	40151	Mule Deer	Odocoileus hemionus	http://farm3.staticflickr.com/2108/2191297464_54338af923_s.jpg	(c) thaths, some rights reserved (CC BY-NC)	8
Colfax County, NM	35007	http://www.inaturalist.org/observations?place_id=3047	207	40151	Mule Deer	Odocoileus hemionus	http://farm3.staticflickr.com/2108/2191297464_54338af923_s.jpg	(c) thaths, some rights reserved (CC BY-NC)	12
