"login","user_id","user_icon","identifications","species","wg"
"ivanresendizcruz",217813,"https://static.inaturalist.org/attachments/users/icons/217813/medium.jpg?1512341028",12294,691,1
"momoto-erick",26699,"https://static.inaturalist.org/attachments/users/icons/26699/medium.jpg?1511759087",7652,285,1
"d_kluza",13200,"https://static.inaturalist.org/attachments/users/icons/13200/medium.gif?1494813070",6892,1379,1
"ck2az",264009,"https://static.inaturalist.org/attachments/users/icons/264009/medium.jpg?1501893266",6537,182,0
"joshuagsmith",269952,"https://static.inaturalist.org/attachments/users/icons/269952/medium.jpg?1501047025",5816,981,1
"greglasley",9706,"https://static.inaturalist.org/attachments/users/icons/9706/medium.jpg?1509395956",5125,1363,1
"markuslilje",140956,"https://static.inaturalist.org/attachments/users/icons/140956/medium.jpeg?1475546401",5063,3225,1
"john8",11060,"https://static.inaturalist.org/attachments/users/icons/11060/medium.jpg?1475532900",4891,1541,1
"psweet",216168,"https://static.inaturalist.org/attachments/users/icons/216168/medium.jpg?1478731222",4830,913,1
"kokhuitan",47594,"https://static.inaturalist.org/attachments/users/icons/47594/medium.jpeg?1475588979",4246,1033,1
"jadonald",102726,"https://static.inaturalist.org/attachments/users/icons/102726/medium.jpg?1475545600",4183,422,1
"nanorca13",111522,"https://static.inaturalist.org/attachments/users/icons/111522/medium.jpg?1475548128",3525,180,0
"paultavares",3181,"https://static.inaturalist.org/attachments/users/icons/3181/medium.jpg?1508783888",3426,955,1
"hfabian",3342,"https://static.inaturalist.org/attachments/users/icons/3342/medium.jpg?1475528806",3370,543,1
"gzepeda",64015,"https://static.inaturalist.org/attachments/users/icons/64015/medium.jpg?1475590022",3327,315,0
"kathawk",300278,"https://static.inaturalist.org/attachments/users/icons/300278/medium.jpg?1475527763",3303,465,0
"dpom",16101,"https://static.inaturalist.org/attachments/users/icons/16101/medium.jpg?1483058050",3108,611,1
"cmcheatle",409010,"https://static.inaturalist.org/attachments/users/icons/409010/medium.jpeg?1487442398",3079,344,0
"aureliomolinahdz",43120,"https://static.inaturalist.org/attachments/users/icons/43120/medium.jpeg?1475552581",2929,287,0
"tlaloc27",370367,"https://static.inaturalist.org/attachments/users/icons/370367/medium.jpg?1502146241",2923,670,0
"tnewman",48418,"",2913,217,0
"aguilita",115129,"https://static.inaturalist.org/attachments/users/icons/115129/medium.jpg?1475549115",2830,420,0
"gyrrlfalcon",8778,"https://static.inaturalist.org/attachments/users/icons/8778/medium.jpg?1505751598",2806,684,1
"fogartyf",318515,"https://static.inaturalist.org/attachments/users/icons/318515/medium.jpg?1500229143",2790,510,0
"ldjaffe",335645,"",2757,241,0
"mako252",18812,"https://static.inaturalist.org/attachments/users/icons/18812/medium.jpg?1491249260",2734,474,0
"panza_rayada",127156,"https://static.inaturalist.org/attachments/users/icons/127156/medium.jpg?1487024477",2697,490,0
"jmaughn",2873,"https://static.inaturalist.org/attachments/users/icons/2873/medium.jpg?1475528622",2642,461,0
"reddad",132154,"https://static.inaturalist.org/attachments/users/icons/132154/medium.jpg?1475543836",2344,123,1
"blakesito",67003,"https://static.inaturalist.org/attachments/users/icons/67003/medium.jpg?1512189572",2231,290,0
"charley",72880,"https://static.inaturalist.org/attachments/users/icons/72880/medium.jpg?1475549521",2220,521,0
"datnatureguy",262301,"https://static.inaturalist.org/attachments/users/icons/262301/medium.jpg?1486918950",2185,589,0
"jmaley",210826,"https://static.inaturalist.org/attachments/users/icons/210826/medium.jpg?1483465867",2089,399,0
"jakob",5643,"https://static.inaturalist.org/attachments/users/icons/5643/medium.png?1475530151",2083,801,1
"denver",36127,"https://static.inaturalist.org/attachments/users/icons/36127/medium.jpg?1475546568",2053,108,0
"roby",169070,"https://static.inaturalist.org/attachments/users/icons/169070/medium.jpg?1475541630",2046,272,1
"mikepatterson",15366,"https://static.inaturalist.org/attachments/users/icons/15366/medium.jpg?1475535529",1986,370,0
"sambiology",22589,"https://static.inaturalist.org/attachments/users/icons/22589/medium.jpg?1475539439",1950,279,0
"august_farrow",460961,"https://static.inaturalist.org/attachments/users/icons/460961/medium.jpg?1494699959",1888,192,0
