"login","user_id","user_icon","identifications","species","wg"
"nlblock",39752,"https://static.inaturalist.org/attachments/users/icons/39752/medium.jpg?1475547994",6650,463,1
"maractwin",10787,"https://static.inaturalist.org/attachments/users/icons/10787/medium.jpg?1479735613",4623,553,1
"juancarlosgarciamorales1",64596,"https://static.inaturalist.org/attachments/users/icons/64596/medium.jpeg?1512021556",4058,579,1
"arbutterflynut",399516,"https://static.inaturalist.org/attachments/users/icons/399516/medium.jpg?1486156295",2620,339,1
"annemirdl",7504,"https://static.inaturalist.org/attachments/users/icons/7504/medium.jpeg?1475531214",2004,569,1
"chrisvanswaay",366926,"https://static.inaturalist.org/attachments/users/icons/366926/medium.jpg?1502261242",1707,217,1
"sej_hdz",19301,"https://static.inaturalist.org/attachments/users/icons/19301/medium.png?1475537806",1550,416,1
"big-simonchan",51342,"https://static.inaturalist.org/attachments/users/icons/51342/medium.jpg?1496764379",1511,123,1
"robberfly",13979,"https://static.inaturalist.org/attachments/users/icons/13979/medium.jpg?1494699553",1406,616,1
"gancw1",44170,"https://static.inaturalist.org/attachments/users/icons/44170/medium.jpg?1475553041",1348,295,1
"aguilita",115129,"https://static.inaturalist.org/attachments/users/icons/115129/medium.jpg?1475549115",1337,162,1
"mako252",18812,"https://static.inaturalist.org/attachments/users/icons/18812/medium.jpg?1491249260",1093,177,1
"treichard",17932,"https://static.inaturalist.org/attachments/users/icons/17932/medium.jpg?1496372379",1055,129,1
"greglasley",9706,"https://static.inaturalist.org/attachments/users/icons/9706/medium.jpg?1509395956",1024,270,1
"ericwilliams",275627,"https://static.inaturalist.org/attachments/users/icons/275627/medium.jpeg?1502281701",994,53,0
"alex_cicindela_guy",579740,"https://static.inaturalist.org/attachments/users/icons/579740/medium.jpg?1503005723",940,271,0
"randyshonkwiler",280601,"",878,54,0
"jakob",5643,"https://static.inaturalist.org/attachments/users/icons/5643/medium.png?1475530151",875,323,1
"daviddodd",728376,"",834,92,0
"pdfuenteb",264427,"https://static.inaturalist.org/attachments/users/icons/264427/medium.jpg?1494354173",783,232,0
"hugoalvarezg",16952,"https://static.inaturalist.org/attachments/users/icons/16952/medium.jpg?1514428732",740,599,0
"sambiology",22589,"https://static.inaturalist.org/attachments/users/icons/22589/medium.jpg?1475539439",716,115,0
"mldelfino",375047,"https://static.inaturalist.org/attachments/users/icons/375047/medium.jpg?1501977253",698,134,0
"aztekium",16744,"https://static.inaturalist.org/attachments/users/icons/16744/medium.jpeg?1475536220",662,340,0
"dpom",16101,"https://static.inaturalist.org/attachments/users/icons/16101/medium.jpg?1483058050",589,207,0
"jasonjdking",513112,"https://static.inaturalist.org/attachments/users/icons/513112/medium.jpg?1498483209",585,63,0
"rcavasin",396290,"https://static.inaturalist.org/attachments/users/icons/396290/medium.jpg?1487335463",578,121,0
"poncho",40730,"https://static.inaturalist.org/attachments/users/icons/40730/medium.jpg?1475548319",575,179,0
"ezeemonee",429191,"https://static.inaturalist.org/attachments/users/icons/429191/medium.jpg?1505989576",556,93,0
"andybirkey",292479,"https://static.inaturalist.org/attachments/users/icons/292479/medium.jpg?1475533463",555,72,0
"rosslayberry",161591,"",541,76,0
"momoto-erick",26699,"https://static.inaturalist.org/attachments/users/icons/26699/medium.jpg?1511759087",533,177,0
"biohexx1",81261,"https://static.inaturalist.org/attachments/users/icons/81261/medium.png?1475545921",533,58,0
"onildo_marini",99495,"https://static.inaturalist.org/attachments/users/icons/99495/medium.jpg?1475553184",530,66,1
"kostaszontanos",396990,"https://static.inaturalist.org/attachments/users/icons/396990/medium.jpg?1505858631",521,92,1
"k8thegr8",281095,"https://static.inaturalist.org/attachments/users/icons/281095/medium.jpg?1494811399",516,65,0
"catchang",179103,"https://static.inaturalist.org/attachments/users/icons/179103/medium.jpg?1475544619",498,72,0
"cmcheatle",409010,"https://static.inaturalist.org/attachments/users/icons/409010/medium.jpeg?1487442398",483,92,0
"finatic",10285,"https://static.inaturalist.org/attachments/users/icons/10285/medium.jpg?1475532519",473,203,0
"euproserpinus",21370,"https://static.inaturalist.org/attachments/users/icons/21370/medium.jpg?1475538868",467,119,0
"hannawacker",37587,"https://static.inaturalist.org/attachments/users/icons/37587/medium.jpg?1475547225",466,146,0
"marcelfinlay",514269,"https://static.inaturalist.org/attachments/users/icons/514269/medium.jpg?1508753103",441,122,1
"fausto",160927,"https://static.inaturalist.org/attachments/users/icons/160927/medium.jpg?1475539729",434,104,1
"itmndeborah",78791,"https://static.inaturalist.org/attachments/users/icons/78791/medium.jpg?1475553514",416,63,0
