"login","user_id","user_icon","identifications","species","wg"
"jakob",5643,"https://static.inaturalist.org/attachments/users/icons/5643/medium.png?1475530151",2711,491,1
"apffmesetadecacaxtla",175692,"https://static.inaturalist.org/attachments/users/icons/175692/medium.jpg?1475543825",1788,23,0
"oebenin",87479,"https://static.inaturalist.org/attachments/users/icons/87479/medium.jpg?1475547822",1717,44,1
"calebcam",560165,"https://static.inaturalist.org/attachments/users/icons/560165/medium.jpg?1506656035",1415,66,1
"johnnybirder",520,"https://static.inaturalist.org/attachments/users/icons/520/medium.jpg?1475527599",1408,187,1
"biohexx1",81261,"https://static.inaturalist.org/attachments/users/icons/81261/medium.png?1475545921",1311,61,1
"john8",11060,"https://static.inaturalist.org/attachments/users/icons/11060/medium.jpg?1475532900",949,208,1
"sea-kangaroo",2991,"https://static.inaturalist.org/attachments/users/icons/2991/medium.jpg?1475528667",687,217,1
"joshuagsmith",269952,"https://static.inaturalist.org/attachments/users/icons/269952/medium.jpg?1501047025",639,68,1
"markuslilje",140956,"https://static.inaturalist.org/attachments/users/icons/140956/medium.jpeg?1475546401",616,323,1
"ldacosta",29729,"https://static.inaturalist.org/attachments/users/icons/29729/medium.jpeg?1475543064",609,46,0
"ck2az",264009,"https://static.inaturalist.org/attachments/users/icons/264009/medium.jpg?1501893266",563,41,0
"bobby23",516268,"https://static.inaturalist.org/attachments/users/icons/516268/medium.jpg?1507668047",548,88,1
"joachim",18381,"https://static.inaturalist.org/attachments/users/icons/18381/medium.jpg?1475537277",543,134,1
"aguilita",115129,"https://static.inaturalist.org/attachments/users/icons/115129/medium.jpg?1475549115",493,69,0
"jmaughn",2873,"https://static.inaturalist.org/attachments/users/icons/2873/medium.jpg?1475528622",455,98,1
"asemerdj",48178,"https://static.inaturalist.org/attachments/users/icons/48178/medium.jpg?1475589392",395,122,1
"gawie",390662,"https://static.inaturalist.org/attachments/users/icons/390662/medium.jpg?1484481655",374,54,0
"loarie",477,"https://static.inaturalist.org/attachments/users/icons/477/medium.jpg?1475527574",369,328,0
"hfabian",3342,"https://static.inaturalist.org/attachments/users/icons/3342/medium.jpg?1475528806",363,94,0
"pfaucher",229868,"https://static.inaturalist.org/attachments/users/icons/229868/medium.jpeg?1508019246",347,171,1
"simontonge",84276,"https://static.inaturalist.org/attachments/users/icons/84276/medium.jpg?1512141898",338,91,0
"wildnothos",565236,"https://static.inaturalist.org/attachments/users/icons/565236/medium.jpg?1502992149",313,53,0
"cullin",298425,"https://static.inaturalist.org/attachments/users/icons/298425/medium.png?1475536450",306,118,0
"swampy",109854,"https://static.inaturalist.org/attachments/users/icons/109854/medium.jpg?1502568743",305,38,0
"rctholengmailcom",509922,"https://static.inaturalist.org/attachments/users/icons/509922/medium.jpg?1507562933",292,1,0
"erikamitchell",12158,"https://static.inaturalist.org/attachments/users/icons/12158/medium.jpeg?1475533280",289,36,0
"d_kluza",13200,"https://static.inaturalist.org/attachments/users/icons/13200/medium.gif?1494813070",286,129,0
"horacio_barcenas",87960,"https://static.inaturalist.org/attachments/users/icons/87960/medium.png?1489940796",283,91,0
"greglasley",9706,"https://static.inaturalist.org/attachments/users/icons/9706/medium.jpg?1509395956",282,150,0
"coreyjlange",55236,"https://static.inaturalist.org/attachments/users/icons/55236/medium.jpg?1475588857",277,92,0
"tapaculo99",20957,"https://static.inaturalist.org/attachments/users/icons/20957/medium.jpg?1475538687",265,110,0
"agnishino",30600,"https://static.inaturalist.org/attachments/users/icons/30600/medium.jpg?1475543520",265,26,0
"kokhuitan",47594,"https://static.inaturalist.org/attachments/users/icons/47594/medium.jpeg?1475588979",265,89,1
"ivanresendizcruz",217813,"https://static.inaturalist.org/attachments/users/icons/217813/medium.jpg?1512341028",264,51,0
"ceibajaguar",378355,"https://static.inaturalist.org/attachments/users/icons/378355/medium.jpg?1480783238",263,21,0
"kathawk",300278,"https://static.inaturalist.org/attachments/users/icons/300278/medium.jpg?1475527763",253,71,0
"sambiology",22589,"https://static.inaturalist.org/attachments/users/icons/22589/medium.jpg?1475539439",251,68,0
"dpom",16101,"https://static.inaturalist.org/attachments/users/icons/16101/medium.jpg?1483058050",248,110,0
"henrydelange",552380,"https://static.inaturalist.org/attachments/users/icons/552380/medium.png?1504700908",245,73,0
"martingrimm",32124,"https://static.inaturalist.org/attachments/users/icons/32124/medium.jpg?1475545052",239,96,0
"paultavares",3181,"https://static.inaturalist.org/attachments/users/icons/3181/medium.jpg?1508783888",236,114,0
"anudibranchmom",26610,"https://static.inaturalist.org/attachments/users/icons/26610/medium.jpg?1475541139",235,74,0
"jmaley",210826,"https://static.inaturalist.org/attachments/users/icons/210826/medium.jpg?1483465867",235,24,0
"belyykit",164735,"https://static.inaturalist.org/attachments/users/icons/164735/medium.jpg?1475540506",232,32,0
"mikeburrell",5967,"https://static.inaturalist.org/attachments/users/icons/5967/medium.jpeg?1475530397",230,65,0
"jadonald",102726,"https://static.inaturalist.org/attachments/users/icons/102726/medium.jpg?1475545600",228,78,1
"juancruzado",5772,"https://static.inaturalist.org/attachments/users/icons/5772/medium.jpg?1475530220",224,240,0
"mikepatterson",15366,"https://static.inaturalist.org/attachments/users/icons/15366/medium.jpg?1475535529",218,88,0
"nawaters",80993,"https://static.inaturalist.org/attachments/users/icons/80993/medium.jpg?1483305685",204,40,0
"zanskar",173306,"https://static.inaturalist.org/attachments/users/icons/173306/medium.jpg?1475543155",202,117,0
"florem",472854,"https://static.inaturalist.org/attachments/users/icons/472854/medium.jpg?1503163465",201,47,0
"oddfitz",115786,"https://static.inaturalist.org/attachments/users/icons/115786/medium.jpg?1504043696",196,38,0
"jay",4530,"https://static.inaturalist.org/attachments/users/icons/4530/medium.jpg?1475529626",193,52,0
"tnewman",48418,"",190,28,0
"lfelliott",206,"https://static.inaturalist.org/attachments/users/icons/206/medium.jpg?1502090676",188,61,0
