"login","user_id","user_icon","identifications","species","wg"
"briang",217057,"https://static.inaturalist.org/attachments/users/icons/217057/medium.jpg?1503858859",3902,382,1
"nlblock",39752,"https://static.inaturalist.org/attachments/users/icons/39752/medium.jpg?1475547994",3131,268,1
"vicfazio3",13444,"https://static.inaturalist.org/attachments/users/icons/13444/medium.jpg?1479691578",2578,191,1
"jimjohnson",24521,"https://static.inaturalist.org/attachments/users/icons/24521/medium.jpg?1475540288",2498,371,1
"greglasley",9706,"https://static.inaturalist.org/attachments/users/icons/9706/medium.jpg?1509395956",2427,442,1
"jimlem",395663,"https://static.inaturalist.org/attachments/users/icons/395663/medium.jpg?1499647581",1769,86,1
"joshualincoln",20198,"https://static.inaturalist.org/attachments/users/icons/20198/medium.jpg?1475538276",1559,155,1
"smpvolunteer-jcannon",313678,"https://static.inaturalist.org/attachments/users/icons/313678/medium.jpg?1493050686",990,47,0
"ericisley",15232,"https://static.inaturalist.org/attachments/users/icons/15232/medium.jpg?1475535495",940,128,1
"aguilita",115129,"https://static.inaturalist.org/attachments/users/icons/115129/medium.jpg?1475549115",845,96,1
"malisaspring",242224,"https://static.inaturalist.org/attachments/users/icons/242224/medium.jpg?1506022465",802,70,0
"lukeberg",499808,"",802,147,1
"joebartok",584526,"https://static.inaturalist.org/attachments/users/icons/584526/medium.jpg?1503157480",797,96,1
"umpquamatt",416993,"https://static.inaturalist.org/attachments/users/icons/416993/medium.jpg?1490505704",748,56,0
"aztekium",16744,"https://static.inaturalist.org/attachments/users/icons/16744/medium.jpeg?1475536220",720,86,1
"cordulegaster58obliqua",181537,"https://static.inaturalist.org/attachments/users/icons/181537/medium.jpg?1475537915",714,167,1
"mikef451",131068,"https://static.inaturalist.org/attachments/users/icons/131068/medium.jpg?1477233062",687,87,1
"cmcheatle",409010,"https://static.inaturalist.org/attachments/users/icons/409010/medium.jpeg?1487442398",657,115,1
"erlandreflingnielsen",72671,"https://static.inaturalist.org/attachments/users/icons/72671/medium.jpg?1508283409",625,493,1
"mdillon444",483355,"",602,103,1
"walkingstick2",448026,"https://static.inaturalist.org/attachments/users/icons/448026/medium.jpg?1492381952",595,34,0
"dmcshaffrey",3534,"https://static.inaturalist.org/attachments/users/icons/3534/medium.jpg?1501283393",572,56,0
"scottking",65504,"https://static.inaturalist.org/attachments/users/icons/65504/medium.jpg?1475589448",540,354,1
"sambiology",22589,"https://static.inaturalist.org/attachments/users/icons/22589/medium.jpg?1475539439",533,89,1
"jcefus",17846,"https://static.inaturalist.org/attachments/users/icons/17846/medium.jpg?1499648007",516,42,0
"randyshonkwiler",280601,"",516,49,0
"ehjalmarson",375183,"https://static.inaturalist.org/attachments/users/icons/375183/medium.jpg?1480380507",511,122,1
"fausto",160927,"https://static.inaturalist.org/attachments/users/icons/160927/medium.jpg?1475539729",492,112,1
"itmndeborah",78791,"https://static.inaturalist.org/attachments/users/icons/78791/medium.jpg?1475553514",476,51,0
"ck2az",264009,"https://static.inaturalist.org/attachments/users/icons/264009/medium.jpg?1501893266",466,20,0
"treichard",17932,"https://static.inaturalist.org/attachments/users/icons/17932/medium.jpg?1496372379",402,71,0
"williamedwards",50978,"",384,62,0
"ricknirschl",552206,"https://static.inaturalist.org/attachments/users/icons/552206/medium.jpg?1501813843",378,97,1
"alexminico",60270,"https://static.inaturalist.org/attachments/users/icons/60270/medium.jpg?1495389907",372,81,0
"gpstewart",42817,"https://static.inaturalist.org/attachments/users/icons/42817/medium.jpg?1475549090",368,112,1
"brentano",25863,"https://static.inaturalist.org/attachments/users/icons/25863/medium.jpg?1475540830",363,66,0
"odonatanb",113886,"https://static.inaturalist.org/attachments/users/icons/113886/medium.jpeg?1475548692",355,88,1
"srmyers",80545,"",354,55,0
"smwhite",38432,"https://static.inaturalist.org/attachments/users/icons/38432/medium.jpg?1475547461",345,77,0
"nbdragonflyguy",107551,"https://static.inaturalist.org/attachments/users/icons/107551/medium.jpg?1487874042",344,120,1
"denver",36127,"https://static.inaturalist.org/attachments/users/icons/36127/medium.jpg?1475546568",339,22,0
"mike_moore",559342,"https://static.inaturalist.org/attachments/users/icons/559342/medium.png?1501764359",313,64,0
"beschwar",22312,"https://static.inaturalist.org/attachments/users/icons/22312/medium.jpg?1475539277",309,135,1
"rasamoto",113146,"",302,66,0
"big-simonchan",51342,"https://static.inaturalist.org/attachments/users/icons/51342/medium.jpg?1496764379",299,19,0
"thomasabenson",513187,"",298,85,0
"marcelfinlay",514269,"https://static.inaturalist.org/attachments/users/icons/514269/medium.jpg?1508753103",288,52,0
"mikeburrell",5967,"https://static.inaturalist.org/attachments/users/icons/5967/medium.jpeg?1475530397",279,120,1
"euproserpinus",21370,"https://static.inaturalist.org/attachments/users/icons/21370/medium.jpg?1475538868",272,54,0
"jasonjdking",513112,"https://static.inaturalist.org/attachments/users/icons/513112/medium.jpg?1498483209",270,47,0
"joelle",79343,"http://staticdev.inaturalist.org/attachments/users/icons/79343/medium.jpg?1495431503",254,49,0
"ym1760",627109,"https://static.inaturalist.org/attachments/users/icons/627109/medium.jpg?1505360486",252,55,0
"tfandre",269263,"https://static.inaturalist.org/attachments/users/icons/269263/medium.jpeg?1475537183",247,61,0
"birdbug62",318400,"https://static.inaturalist.org/attachments/users/icons/318400/medium.jpg?1508382599",243,92,0
"colindjones",18062,"https://static.inaturalist.org/attachments/users/icons/18062/medium.jpg?1490128080",237,85,0
"jemredwood",416201,"https://static.inaturalist.org/attachments/users/icons/416201/medium.jpg?1509752500",237,85,0
"alchemist2000",185358,"https://static.inaturalist.org/attachments/users/icons/185358/medium.jpg?1495409199",235,34,0
"jblinde",63310,"https://static.inaturalist.org/attachments/users/icons/63310/medium.jpg?1475590314",234,51,0
"dianaterryhibbitts",9560,"https://static.inaturalist.org/attachments/users/icons/9560/medium.jpeg?1475532148",230,344,0
"alisadematteo",692733,"https://static.inaturalist.org/attachments/users/icons/692733/medium.jpg?1509729701",230,22,0
"reiner",222137,"https://static.inaturalist.org/attachments/users/icons/222137/medium.jpg?1499517650",228,60,0
"maractwin",10787,"https://static.inaturalist.org/attachments/users/icons/10787/medium.jpg?1479735613",223,113,0
"magazhu",46555,"https://static.inaturalist.org/attachments/users/icons/46555/medium.jpg?1475588516",222,43,0
"purperlibel",73671,"https://static.inaturalist.org/attachments/users/icons/73671/medium.jpg?1475549732",220,103,0
"rlephoto",401017,"https://static.inaturalist.org/attachments/users/icons/401017/medium.jpg?1486344055",217,68,0
"jwn7882",312832,"https://static.inaturalist.org/attachments/users/icons/312832/medium.jpg?1506610522",216,42,0
"psweet",216168,"https://static.inaturalist.org/attachments/users/icons/216168/medium.jpg?1478731222",207,109,0
"finatic",10285,"https://static.inaturalist.org/attachments/users/icons/10285/medium.jpg?1475532519",205,111,0
"oz4caster",46101,"https://static.inaturalist.org/attachments/users/icons/46101/medium.jpg?1475588315",198,43,0
"gaudettelaura",12049,"https://static.inaturalist.org/attachments/users/icons/12049/medium.jpg?1475533241",197,138,0
"nicolascatassi",84694,"https://static.inaturalist.org/attachments/users/icons/84694/medium.jpg?1475546866",196,60,0
"pagophila",393377,"https://static.inaturalist.org/attachments/users/icons/393377/medium.jpg?1489357267",194,71,0
"muir",1000,"https://static.inaturalist.org/attachments/users/icons/1000/medium.jpg?1475527774",188,196,0
"mchlfx",28775,"https://static.inaturalist.org/attachments/users/icons/28775/medium.jpg?1475542326",187,73,0
