"login","user_id","user_icon","identifications","species","wg","wg"
"maractwin",10787,"https://static.inaturalist.org/attachments/users/icons/10787/medium.jpg?1479735613",2699,1540,1,1
"sascha_schulz",353565,"https://static.inaturalist.org/attachments/users/icons/353565/medium.jpg?1477112796",1465,687,1,1
"richardling",357375,"https://static.inaturalist.org/attachments/users/icons/357375/medium.jpg?1484462740",1275,342,1,1
"pmk00001",204678,"https://static.inaturalist.org/attachments/users/icons/204678/medium.jpg?1491596497",1247,313,1,1
"ralfmagee",376665,"https://static.inaturalist.org/attachments/users/icons/376665/medium.jpg?1480922620",1222,793,1,1
"lovelyclemmy",38700,"https://static.inaturalist.org/attachments/users/icons/38700/medium.jpg?1475547573",1051,700,1,1
"davidr",3403,"https://static.inaturalist.org/attachments/users/icons/3403/medium.jpg?1475528831",967,738,1,1
"ianbanks",357476,"https://static.inaturalist.org/attachments/users/icons/357476/medium.jpg?1511380393",937,158,1,1
"johnturnbull",24009,"https://static.inaturalist.org/attachments/users/icons/24009/medium.jpg?1480743296",880,324,1,1
"quiggifur",505122,"https://static.inaturalist.org/attachments/users/icons/505122/medium.jpg?1497051977",612,75,0,1
"eschlogl",356301,"https://static.inaturalist.org/attachments/users/icons/356301/medium.jpg?1478305414",541,513,1,0
"fiftygrit",358705,"https://static.inaturalist.org/attachments/users/icons/358705/medium.jpg?1477543194",533,216,1,0
"fishesoftexas",10601,"https://static.inaturalist.org/attachments/users/icons/10601/medium.png?1475532714",512,127,1,1
"anthonygill",349174,"https://static.inaturalist.org/attachments/users/icons/349174/medium.jpg?1477973762",510,316,1,0
"fdouglasmartin",10738,"https://static.inaturalist.org/attachments/users/icons/10738/medium.jpg?1475532755",444,214,1,1
"markmcg",318428,"https://static.inaturalist.org/attachments/users/icons/318428/medium.jpg?1478299258",407,369,1,0
"nakarb",677594,"https://static.inaturalist.org/attachments/users/icons/677594/medium.png?1508533090",397,193,1,1
"alex_bairstow",317669,"https://static.inaturalist.org/attachments/users/icons/317669/medium.jpg?1504400797",394,104,1,0
"tortuga_rapido",10162,"https://static.inaturalist.org/attachments/users/icons/10162/medium.jpg?1475532444",361,81,0,0
"neild",257303,"https://static.inaturalist.org/attachments/users/icons/257303/medium.png?1482787697",346,172,1,0
"clinton",56848,"https://static.inaturalist.org/attachments/users/icons/56848/medium.jpg?1475589416",342,216,1,0
"christian77amador",87570,"https://static.inaturalist.org/attachments/users/icons/87570/medium.png?1475547853",342,118,1,0
"henrick",418825,"https://static.inaturalist.org/attachments/users/icons/418825/medium.jpg?1499171247",305,125,1,0
"nyoni-pete",108966,"https://static.inaturalist.org/attachments/users/icons/108966/medium.jpg?1483508590",296,166,1,0
"ken_flan",35706,"https://static.inaturalist.org/attachments/users/icons/35706/medium.jpeg?1476512903",266,31,0,0
"gina_mascord",534726,"https://static.inaturalist.org/attachments/users/icons/534726/medium.jpg?1500345984",266,102,1,0
"andrewtrevor-jones",125670,"https://static.inaturalist.org/attachments/users/icons/125670/medium.jpg?1485287506",265,43,0,0
"bradleyfishes",641347,"https://static.inaturalist.org/attachments/users/icons/641347/medium.jpg?1506221846",245,95,1,0
"mako252",18812,"https://static.inaturalist.org/attachments/users/icons/18812/medium.jpg?1491249260",226,142,1,0
"jeffmci9",435598,"https://static.inaturalist.org/attachments/users/icons/435598/medium.jpg?1491017960",211,42,0,0
"harryrosenthal",352056,"https://static.inaturalist.org/attachments/users/icons/352056/medium.jpg?1477346972",197,139,1,0
"nicklambert",661392,"https://static.inaturalist.org/attachments/users/icons/661392/medium.jpg?1510989569",194,63,0,0
"hix",372485,"https://static.inaturalist.org/attachments/users/icons/372485/medium.jpg?1479911434",174,250,1,1
"blakesito",67003,"https://static.inaturalist.org/attachments/users/icons/67003/medium.jpg?1512189572",173,45,0,0
"loarie",477,"https://static.inaturalist.org/attachments/users/icons/477/medium.jpg?1475527574",168,219,1,0
"scottgibson",592299,"https://static.inaturalist.org/attachments/users/icons/592299/medium.jpg?1504120758",161,66,0,0
"shoalbandit",122665,"https://static.inaturalist.org/attachments/users/icons/122665/medium.jpg?1508182670",157,14,0,0
"jujurenoult",175009,"https://static.inaturalist.org/attachments/users/icons/175009/medium.jpg?1475543600",155,223,1,1
"johnsear",357545,"https://static.inaturalist.org/attachments/users/icons/357545/medium.jpg?1484473364",152,347,1,0
"nv_multispeciesfishing",535133,"https://static.inaturalist.org/attachments/users/icons/535133/medium.jpeg?1500491798",143,36,0,0
"amyers",525363,"https://static.inaturalist.org/attachments/users/icons/525363/medium.jpg?1507298529",141,45,0,0
"anudibranchmom",26610,"https://static.inaturalist.org/attachments/users/icons/26610/medium.jpg?1475541139",132,144,1,1
"rmcminds",285603,"https://static.inaturalist.org/attachments/users/icons/285603/medium.jpg?1475531256",131,81,0,0
"spela",513171,"https://static.inaturalist.org/attachments/users/icons/513171/medium.jpg?1497975316",128,42,0,1
"insequentways",653415,"https://static.inaturalist.org/attachments/users/icons/653415/medium.jpg?1506913211",125,104,1,0
"noaboa",277896,"https://static.inaturalist.org/attachments/users/icons/277896/medium.jpeg?1510606835",116,103,1,0
"ekmoody",382741,"https://static.inaturalist.org/attachments/users/icons/382741/medium.jpg?1482363294",116,72,0,0
"stonius",382473,"https://static.inaturalist.org/attachments/users/icons/382473/medium.jpg?1484892981",115,60,0,0
"debaston",478579,"",114,77,0,0
"lisa_bennett",59227,"https://static.inaturalist.org/attachments/users/icons/59227/medium.jpg?1475588596",112,120,1,0
"tobler",29712,"https://static.inaturalist.org/attachments/users/icons/29712/medium.png?1475543053",111,199,0,0
"tantsusoo",17069,"https://static.inaturalist.org/attachments/users/icons/17069/medium.jpeg?1475536383",108,98,0,0
"bkorol",533871,"https://static.inaturalist.org/attachments/users/icons/533871/medium.jpg?1500340689",106,79,0,0
"tamsynmann",613941,"https://static.inaturalist.org/attachments/users/icons/613941/medium.jpg?1504435496",102,79,0,0
"leecain",25763,"https://static.inaturalist.org/attachments/users/icons/25763/medium.jpg?1489861788",100,32,0,0
"robvanepps",19858,"https://static.inaturalist.org/attachments/users/icons/19858/medium.jpg?1475538108",96,90,0,0
"thibaudaronson",645653,"https://static.inaturalist.org/attachments/users/icons/645653/medium.jpg?1512986703",94,72,0,0
"georgia_poyner",377193,"https://static.inaturalist.org/attachments/users/icons/377193/medium.jpg?1491977076",93,58,0,0
"oryzias",30342,"https://static.inaturalist.org/attachments/users/icons/30342/medium.jpg?1475543381",87,107,0,1
"mscott",737296,"",87,79,0,0
"mmulqueen",384718,"https://static.inaturalist.org/attachments/users/icons/384718/medium.jpg?1494637779",85,55,0,0
"aaronramon",62176,"https://static.inaturalist.org/attachments/users/icons/62176/medium.jpg?1475589929",84,41,0,0
"leptonia",5179,"https://static.inaturalist.org/attachments/users/icons/5179/medium.jpg?1492195206",83,68,0,0
"sea-kangaroo",2991,"https://static.inaturalist.org/attachments/users/icons/2991/medium.jpg?1475528667",81,416,0,0
"mjcasarez",11481,"https://static.inaturalist.org/attachments/users/icons/11481/medium.jpg?1488302961",80,80,0,0
"calopteryx",30601,"https://static.inaturalist.org/attachments/users/icons/30601/medium.jpg?1475543524",80,35,0,0
"rfoster",388888,"",80,61,0,0
"gonodactylus",188597,"https://static.inaturalist.org/attachments/users/icons/188597/medium.jpg?1475539477",78,111,0,1
"sflax",511785,"https://static.inaturalist.org/attachments/users/icons/511785/medium.jpg?1503620065",76,37,0,0
"martingrimm",32124,"https://static.inaturalist.org/attachments/users/icons/32124/medium.jpg?1475545052",74,80,0,0
"jeffwj",361810,"",74,62,0,0
"stanvrem",615980,"https://static.inaturalist.org/attachments/users/icons/615980/medium.png?1504689259",74,59,0,1
"madcap3693",135019,"https://static.inaturalist.org/attachments/users/icons/135019/medium.jpg?1494277131",73,20,0,0
"michaelbakkerpaiva",25160,"https://static.inaturalist.org/attachments/users/icons/25160/medium.png?1501086737",71,27,0,1
"ldacosta",29729,"https://static.inaturalist.org/attachments/users/icons/29729/medium.jpeg?1475543064",67,36,0,0
