"login","user_id","user_icon","identifications","species","wg"
"wild-about-texas",206492,"https://static.inaturalist.org/attachments/users/icons/206492/medium.jpg?1475537863",3769,242,1
"herpguy",8060,"https://static.inaturalist.org/attachments/users/icons/8060/medium.jpg?1475531455",2942,1139,1
"ritt",16925,"",2333,382,1
"mako252",18812,"https://static.inaturalist.org/attachments/users/icons/18812/medium.jpg?1491249260",2253,86,1
"lucareptile",324885,"https://static.inaturalist.org/attachments/users/icons/324885/medium.jpg?1475535363",1493,248,1
"calebcam",560165,"https://static.inaturalist.org/attachments/users/icons/560165/medium.jpg?1506656035",1422,291,1
"atrox77",248231,"https://static.inaturalist.org/attachments/users/icons/248231/medium.jpg?1508860758",1264,100,0
"jamesparham",36483,"https://static.inaturalist.org/attachments/users/icons/36483/medium.jpg?1475546821",1219,72,0
"biohexx1",81261,"https://static.inaturalist.org/attachments/users/icons/81261/medium.png?1475545921",1090,40,0
"gtsalmon",43772,"https://static.inaturalist.org/attachments/users/icons/43772/medium.jpg?1480819435",784,248,1
"naturenate",86100,"https://static.inaturalist.org/attachments/users/icons/86100/medium.jpg?1491323876",776,63,0
"adammyates",373563,"https://static.inaturalist.org/attachments/users/icons/373563/medium.jpg?1479893628",758,154,1
"loarie",477,"https://static.inaturalist.org/attachments/users/icons/477/medium.jpg?1475527574",712,425,1
"net8a",114537,"https://static.inaturalist.org/attachments/users/icons/114537/medium.png?1475549005",693,230,1
"reedmcclure",21609,"https://static.inaturalist.org/attachments/users/icons/21609/medium.jpg?1475539002",682,70,0
"cthawley",139486,"https://static.inaturalist.org/attachments/users/icons/139486/medium.jpg?1493471549",665,33,0
"gregpauly",17630,"https://static.inaturalist.org/attachments/users/icons/17630/medium.jpg?1475536636",593,69,0
"fieldnotes",42513,"https://static.inaturalist.org/attachments/users/icons/42513/medium.jpg?1475548996",577,94,0
"jakob",5643,"https://static.inaturalist.org/attachments/users/icons/5643/medium.png?1475530151",546,277,1
"jmaughn",2873,"https://static.inaturalist.org/attachments/users/icons/2873/medium.jpg?1475528622",537,105,1
"jhvaldez",23647,"https://static.inaturalist.org/attachments/users/icons/23647/medium.jpg?1475539949",524,110,1
"sandboa",6690,"https://static.inaturalist.org/attachments/users/icons/6690/medium.jpg?1475530763",521,307,1
"kchyn",81860,"",511,20,1
"pagophila",393377,"https://static.inaturalist.org/attachments/users/icons/393377/medium.jpg?1489357267",507,168,0
"tiwane",28,"https://static.inaturalist.org/attachments/users/icons/28/medium.jpg?1494561255",498,103,0
"ck2az",264009,"https://static.inaturalist.org/attachments/users/icons/264009/medium.jpg?1501893266",492,44,0
"desversen",227941,"https://static.inaturalist.org/attachments/users/icons/227941/medium.jpg?1491553677",478,28,1
