iso	url	name	place_id	ratio
4	https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Afghanistan.svg	Afghanistan	7341	1.5
248	https://upload.wikimedia.org/wikipedia/commons/5/52/Flag_of_Åland.svg	Åland	10282	1.529
8	https://upload.wikimedia.org/wikipedia/commons/3/36/Flag_of_Albania.svg	Albania	8505	1.4
12	https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Algeria.svg	Algeria	7300	1.5
16	https://upload.wikimedia.org/wikipedia/commons/8/87/Flag_of_American_Samoa.svg	American Samoa	8548	2
20	https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Andorra.svg	Andorra	8226	1.429
24	https://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Angola.svg	Angola	7100	1.5
660	https://upload.wikimedia.org/wikipedia/commons/b/b4/Flag_of_Anguilla.svg	Anguilla	10281	2
10	https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_Antarctica.svg	Antarctica	54505	2
28	https://upload.wikimedia.org/wikipedia/commons/8/89/Flag_of_Antigua_and_Barbuda.svg	Antigua and Barbuda	10283	1.5
32	https://upload.wikimedia.org/wikipedia/commons/1/1a/Flag_of_Argentina.svg	Argentina	7190	1.6
51	https://upload.wikimedia.org/wikipedia/commons/2/2f/Flag_of_Armenia.svg	Armenia	8433	2
533	https://upload.wikimedia.org/wikipedia/commons/f/f6/Flag_of_Aruba.svg	Aruba	8359	1.5
36	https://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg	Australia	6744	2
40	https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg	Austria	8057	1.5
31	https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Azerbaijan.svg	Azerbaijan	8434	2
44	https://upload.wikimedia.org/wikipedia/commons/9/93/Flag_of_the_Bahamas.svg	Bahamas	7313	2
48	https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Bahrain.svg	Bahrain	10284	1.667
50	https://upload.wikimedia.org/wikipedia/commons/f/f9/Flag_of_Bangladesh.svg	Bangladesh	7154	1.667
52	https://upload.wikimedia.org/wikipedia/commons/e/ef/Flag_of_Barbados.svg	Barbados	10285	1.5
112	https://upload.wikimedia.org/wikipedia/commons/8/85/Flag_of_Belarus.svg	Belarus	7578	2
56	https://upload.wikimedia.org/wikipedia/commons/6/65/Flag_of_Belgium.svg	Belgium	7008	1.154
84	https://upload.wikimedia.org/wikipedia/commons/e/e7/Flag_of_Belize.svg	Belize	6953	1.5
204	https://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Benin.svg	Benin	8509	1.5
60	https://upload.wikimedia.org/wikipedia/commons/b/bf/Flag_of_Bermuda.svg	Bermuda	8638	2
64	https://upload.wikimedia.org/wikipedia/commons/9/91/Flag_of_Bhutan.svg	Bhutan	7707	1.5
68	https://upload.wikimedia.org/wikipedia/commons/4/48/Flag_of_Bolivia.svg	Bolivia	6783	1.467
535	https://upload.wikimedia.org/wikipedia/commons/1/1e/Flag_of_Bonaire.svg	Netherlands Antilles	8360	1.5
70	https://upload.wikimedia.org/wikipedia/commons/b/bf/Flag_of_Bosnia_and_Herzegovina.svg	Bosnia and Herzegovina	8268	2
72	https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_Botswana.svg	Botswana	7105	1.5
74	https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Norway.svg	Bouvet Island	10286	1.375
76	https://upload.wikimedia.org/wikipedia/commons/0/05/Flag_of_Brazil.svg	Brazil	6878	1.429
86	https://upload.wikimedia.org/wikipedia/commons/6/6e/Flag_of_the_British_Indian_Ocean_Territory.svg	British Indian Ocean Territory	10295	2
96	https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Brunei.svg	Brunei	7838	2
100	https://upload.wikimedia.org/wikipedia/commons/9/9a/Flag_of_Bulgaria.svg	Bulgaria	8241	1.6671
854	https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Burkina_Faso.svg	Burkina Faso	8510	1.5
108	https://upload.wikimedia.org/wikipedia/commons/5/50/Flag_of_Burundi.svg	Burundi	7106	1.667
116	https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg	Cambodia	7002	1.563
120	https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Cameroon.svg	Cameroon	7546	1.5
124	https://upload.wikimedia.org/wikipedia/commons/c/cf/Flag_of_Canada.svg	Canada	6712	2
132	https://upload.wikimedia.org/wikipedia/commons/3/38/Flag_of_Cape_Verde.svg	Cape Verde	9445	1.667
136	https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_the_Cayman_Islands.svg	Cayman Islands	7488	2
140	https://upload.wikimedia.org/wikipedia/commons/6/6f/Flag_of_the_Central_African_Republic.svg	Central African Republic	8356	1.5
148	https://upload.wikimedia.org/wikipedia/commons/4/4b/Flag_of_Chad.svg	Chad	7074	1.5
152	https://upload.wikimedia.org/wikipedia/commons/7/78/Flag_of_Chile.svg	Chile	7182	1.5
