raw_date,end_date,date,count,most_login,most_user,icon
2011-01-01,2011-01-31,Jan 2011,0,,,
2011-02-01,2011-02-28,Feb 2011,0,,,
2011-03-01,2011-03-31,Mar 2011,0,,,
2011-04-01,2011-04-30,Apr 2011,0,,,
2011-05-01,2011-05-31,May 2011,1,feliperabanal,1467,https://static.inaturalist.org/attachments/users/icons/1467/medium.jpeg?1475527980
2011-06-01,2011-06-30,Jun 2011,1,schmitt,1747,
2011-07-01,2011-07-31,Jul 2011,0,,,
2011-08-01,2011-08-31,Aug 2011,0,,,
2011-09-01,2011-09-30,Sep 2011,1,tarantulario,3093,
2011-10-01,2011-10-31,Oct 2011,0,,,
2011-11-01,2011-11-30,Nov 2011,0,,,
2011-12-01,2011-12-31,Dec 2011,12,liamq,4083,https://static.inaturalist.org/attachments/users/icons/4083/medium.jpeg?1475529376
2012-01-01,2012-01-31,Jan 2012,0,,,
2012-02-01,2012-02-29,Feb 2012,0,,,
2012-03-01,2012-03-31,Mar 2012,7,ecobirding,5271,https://static.inaturalist.org/attachments/users/icons/5271/medium.jpeg?1475529958
2012-04-01,2012-04-30,Apr 2012,0,,,
2012-05-01,2012-05-31,May 2012,0,,,
2012-06-01,2012-06-30,Jun 2012,0,,,
2012-07-01,2012-07-31,Jul 2012,0,,,
2012-08-01,2012-08-31,Aug 2012,3,kotuku,57531,
2012-09-01,2012-09-30,Sep 2012,0,,,
2012-10-01,2012-10-31,Oct 2012,0,,,
2012-11-01,2012-11-30,Nov 2012,3,greglasley,9706,https://static.inaturalist.org/attachments/users/icons/9706/medium.jpg?1509395956
2012-12-01,2012-12-31,Dec 2012,9,greglasley,9706,https://static.inaturalist.org/attachments/users/icons/9706/medium.jpg?1509395956
2013-01-01,2013-01-31,Jan 2013,6,robertbader3511,12369,https://static.inaturalist.org/attachments/users/icons/12369/medium.jpeg?1475533374
2013-02-01,2013-02-28,Feb 2013,2,tallulahgrace,13275,https://static.inaturalist.org/attachments/users/icons/13275/medium.jpg?1475533804
2013-03-01,2013-03-31,Mar 2013,0,,,
2013-04-01,2013-04-30,Apr 2013,0,,,
2013-05-01,2013-05-31,May 2013,3,carmelo_lopez,15211,https://static.inaturalist.org/attachments/users/icons/15211/medium.jpg?1475535487
2013-06-01,2013-06-30,Jun 2013,3,salvador,16886,https://static.inaturalist.org/attachments/users/icons/16886/medium.jpg?1475536305
2013-07-01,2013-07-31,Jul 2013,43,csavy,19061,https://static.inaturalist.org/attachments/users/icons/19061/medium.jpg?1475537691
2013-08-01,2013-08-31,Aug 2013,16,carmelo_lopez,15211,https://static.inaturalist.org/attachments/users/icons/15211/medium.jpg?1475535487
2013-09-01,2013-09-30,Sep 2013,25,dyeany2,4351,https://static.inaturalist.org/attachments/users/icons/4351/medium.jpg?1475529536
2013-10-01,2013-10-31,Oct 2013,1,c_michael_hogan,4857,https://static.inaturalist.org/attachments/users/icons/4857/medium.jpg?1475529773
2013-11-01,2013-11-30,Nov 2013,1,c_michael_hogan,4857,https://static.inaturalist.org/attachments/users/icons/4857/medium.jpg?1475529773
2013-12-01,2013-12-31,Dec 2013,4,c_michael_hogan,4857,https://static.inaturalist.org/attachments/users/icons/4857/medium.jpg?1475529773
2014-01-01,2014-01-31,Jan 2014,18,archiverde,28976,https://static.inaturalist.org/attachments/users/icons/28976/medium.jpg?1475542489
