date	count
21-Jan-08	5
17-Mar-08	2
24-Mar-08	18
31-Mar-08	21
07-Apr-08	11
14-Apr-08	5
21-Apr-08	7
28-Apr-08	11
05-May-08	17
12-May-08	20
19-May-08	8
26-May-08	19
02-Jun-08	33
09-Jun-08	19
16-Jun-08	24
23-Jun-08	15
30-Jun-08	19
07-Jul-08	9
14-Jul-08	5
21-Jul-08	12
28-Jul-08	8
04-Aug-08	5
11-Aug-08	5
18-Aug-08	1
25-Aug-08	39
01-Sep-08	8
08-Sep-08	5
15-Sep-08	13
22-Sep-08	18
29-Sep-08	2
06-Oct-08	5
13-Oct-08	6
20-Oct-08	14
03-Nov-08	12
10-Nov-08	4
17-Nov-08	7
24-Nov-08	18
01-Dec-08	7
08-Dec-08	4
15-Dec-08	15
22-Dec-08	25
29-Dec-08	34
05-Jan-09	21
12-Jan-09	43
19-Jan-09	43
26-Jan-09	37
02-Feb-09	57
09-Feb-09	38
16-Feb-09	36
23-Feb-09	82
02-Mar-09	21
09-Mar-09	69
16-Mar-09	185
23-Mar-09	27
30-Mar-09	54
06-Apr-09	53
13-Apr-09	84
20-Apr-09	48
27-Apr-09	79
04-May-09	48
11-May-09	45
18-May-09	65
25-May-09	53
01-Jun-09	43
08-Jun-09	40
15-Jun-09	26
22-Jun-09	33
29-Jun-09	56
06-Jul-09	26
13-Jul-09	52
20-Jul-09	22
27-Jul-09	2
03-Aug-09	17
10-Aug-09	7
17-Aug-09	28
24-Aug-09	35
31-Aug-09	11
07-Sep-09	25
14-Sep-09	11
21-Sep-09	8
28-Sep-09	10
05-Oct-09	3
12-Oct-09	18
19-Oct-09	6
26-Oct-09	8
02-Nov-09	18
09-Nov-09	11
16-Nov-09	104
23-Nov-09	27
30-Nov-09	65
07-Dec-09	9
14-Dec-09	16
21-Dec-09	13
28-Dec-09	47
04-Jan-10	86
11-Jan-10	47
18-Jan-10	16
25-Jan-10	40
01-Feb-10	133
08-Feb-10	261
15-Feb-10	210
22-Feb-10	52
01-Mar-10	71
08-Mar-10	76
15-Mar-10	114
22-Mar-10	150
29-Mar-10	25
05-Apr-10	115
12-Apr-10	102
19-Apr-10	113
26-Apr-10	67
03-May-10	100
10-May-10	102
17-May-10	130
24-May-10	124
31-May-10	82
07-Jun-10	66
14-Jun-10	64
21-Jun-10	72
28-Jun-10	28
05-Jul-10	54
12-Jul-10	12
19-Jul-10	87
26-Jul-10	24
02-Aug-10	22
09-Aug-10	30
16-Aug-10	49
23-Aug-10	25
30-Aug-10	10
06-Sep-10	48
13-Sep-10	23
20-Sep-10	9
27-Sep-10	21
04-Oct-10	97
11-Oct-10	29
18-Oct-10	23
25-Oct-10	13
01-Nov-10	129
15-Nov-10	97
22-Nov-10	123
29-Nov-10	35
06-Dec-10	69
13-Dec-10	21
20-Dec-10	51
27-Dec-10	64
03-Jan-11	53
10-Jan-11	65
17-Jan-11	472
24-Jan-11	231
31-Jan-11	221
07-Feb-11	204
14-Feb-11	193
21-Feb-11	201
28-Feb-11	339
07-Mar-11	324
14-Mar-11	172
21-Mar-11	205
28-Mar-11	324
04-Apr-11	310
11-Apr-11	484
18-Apr-11	402
25-Apr-11	519
02-May-11	410
09-May-11	508
16-May-11	407
23-May-11	684
30-May-11	1133
06-Jun-11	592
13-Jun-11	785
20-Jun-11	534
27-Jun-11	667
04-Jul-11	476
11-Jul-11	674
18-Jul-11	538
25-Jul-11	552
