id	species
5115	Corvus brachyrhynchos
5083	Cyanocitta cristata
5093	Cyanocitta cristata
5107	Corvus ossifragus
5045	Corvus brachyrhynchos
5087	Cyanocitta cristata
5035	Cyanocitta cristata
5081	Corvus brachyrhynchos
24027	Cyanocitta cristata
22047	Cyanocitta cristata
22055	Cyanocitta cristata
22113	Corvus ossifragus
22085	Corvus brachyrhynchos
22031	Cyanocitta cristata
22081	Cyanocitta cristata
22063	Cyanocitta cristata
35013	Corvus corax
35006	Corvus corax
35045	Corvus corax
35007	Corvus corax
40073	Corvus brachyrhynchos
40113	Corvus brachyrhynchos
40137	Corvus brachyrhynchos
40083	Corvus brachyrhynchos
40119	Corvus brachyrhynchos
5095	Corvus ossifragus
22107	Cyanocitta cristata
22099	Cyanocitta cristata
35001	Gymnorhinus cyanocephalus
35049	Pica hudsonia
35055	Pica hudsonia
40013	Corvus brachyrhynchos
48269	Cyanocitta cristata
48357	Pica hudsonia
5091	Cyanocitta cristata
35029	Corvus corax
40109	Corvus brachyrhynchos
17043	Cyanocitta cristata
53033	Perisoreus canadensis
19015	Corvus brachyrhynchos
20049	Cyanocitta cristata
20115	Cyanocitta cristata
48461	Cyanocitta cristata
48355	Cyanocorax yncas
48231	Cyanocitta cristata
48341	Pica hudsonia
48401	Cyanocitta cristata
48159	Cyanocitta cristata
48365	Cyanocitta cristata
48063	Cyanocitta cristata
48035	Cyanocitta cristata
48247	Cyanocorax yncas
48479	Cyanocorax yncas
48135	Cyanocitta cristata
48137	Aphelocoma californica
48153	Cyanocitta cristata
48131	Cyanocorax yncas
48077	Cyanocitta cristata
48259	Aphelocoma californica
48279	Cyanocitta cristata
48419	Cyanocitta cristata
48387	Corvus brachyrhynchos
48487	Cyanocitta cristata
48477	Corvus brachyrhynchos
48453	Aphelocoma californica
48203	Cyanocitta cristata
48215	Cyanocorax yncas
48317	Cyanocitta cristata
48189	Cyanocitta cristata
48005	Cyanocitta cristata
48141	Cyanocitta stelleri
48467	Cyanocitta cristata
48037	Corvus brachyrhynchos
48503	Corvus brachyrhynchos
48325	Cyanocorax yncas
48205	Corvus cryptoleucus
48157	Cyanocitta cristata
48055	Corvus brachyrhynchos
48167	Cyanocitta cristata
48053	Aphelocoma californica
48027	Corvus corax
48505	Cyanocorax yncas
48091	Aphelocoma californica
48071	Cyanocitta cristata
48073	Cyanocitta cristata
48111	Corvus cryptoleucus
48489	Cyanocorax yncas
48485	Cyanocitta cristata
48507	Cyanocorax yncas
48443	Aphelocoma wollweberi
48349	Corvus brachyrhynchos
48471	Corvus brachyrhynchos
48363	Corvus brachyrhynchos
48397	Cyanocitta cristata
48403	Cyanocitta cristata
48271	Cyanocorax yncas
48367	Cyanocitta cristata
48003	Cyanocitta cristata
48023	Cyanocitta cristata
48001	Corvus brachyrhynchos
48007	Cyanocorax yncas
48031	Aphelocoma californica
48009	Cyanocitta cristata
48047	Cyanocorax yncas
48067	Corvus brachyrhynchos
48107	Cyanocitta cristata
48371	Aphelocoma wollweberi
48435	Aphelocoma californica
48249	Cyanocorax yncas
48013	Cyanocorax yncas
48085	Cyanocitta cristata
48343	Cyanocitta cristata
48101	Cyanocitta cristata
48347	Cyanocitta cristata
48429	Corvus brachyrhynchos
48293	Corvus brachyrhynchos
48029	Aphelocoma californica
48201	Cyanocitta cristata
48097	Corvus brachyrhynchos
48315	Cyanocitta cristata
48321	Cyanocitta cristata
48481	Cyanocitta cristata
35027	Corvus corax
35037	Pica hudsonia
35057	Aphelocoma californica
35019	Aphelocoma californica
35059	Aphelocoma californica
35039	Corvus corax
35003	Corvus corax
35031	Corvus corax
35035	Cyanocitta stelleri
35028	Corvus corax
35033	Pica hudsonia
35047	Pica hudsonia
40075	Corvus brachyrhynchos
40117	Corvus brachyrhynchos
40071	Corvus brachyrhynchos
40067	Cyanocitta cristata
40065	Corvus corax
40047	Corvus brachyrhynchos
40031	Corvus brachyrhynchos
40033	Cyanocitta cristata
40027	Corvus brachyrhynchos
40017	Corvus brachyrhynchos
40139	Pica hudsonia
40051	Corvus brachyrhynchos
40141	Cyanocitta cristata
40125	Corvus brachyrhynchos
40103	Corvus brachyrhynchos
40089	Corvus brachyrhynchos
40015	Corvus brachyrhynchos
40025	Aphelocoma californica
5137	Corvus brachyrhynchos
5029	Corvus brachyrhynchos
5071	Cyanocitta cristata
5129	Corvus brachyrhynchos
5047	Cyanocitta cristata
5041	Corvus ossifragus
5023	Corvus brachyrhynchos
5101	Cyanocitta cristata
5077	Corvus ossifragus
22037	Cyanocitta cristata
22011	Corvus brachyrhynchos
22019	Corvus brachyrhynchos
22071	Corvus brachyrhynchos
22087	Corvus brachyrhynchos
22051	Corvus brachyrhynchos
22075	Corvus brachyrhynchos
22101	Cyanocitta cristata
22001	Corvus ossifragus
22045	Cyanocitta cristata
