"login","user_id","user_icon","identifications","species","wg"
"herpguy",8060,"https://static.inaturalist.org/attachments/users/icons/8060/medium.jpg?1475531455",1808,436,1
"ritt",16925,"",1046,136,1
"lucareptile",324885,"https://static.inaturalist.org/attachments/users/icons/324885/medium.jpg?1475535363",990,154,1
"sandboa",6690,"https://static.inaturalist.org/attachments/users/icons/6690/medium.jpg?1475530763",505,113,1
"danieleseglie",72232,"https://static.inaturalist.org/attachments/users/icons/72232/medium.jpg?1475549359",496,60,1
"leibele",112445,"https://static.inaturalist.org/attachments/users/icons/112445/medium.jpg?1475548331",485,19,0
"smpvolunteer-jcannon",313678,"https://static.inaturalist.org/attachments/users/icons/313678/medium.jpg?1493050686",472,19,0
"wild-about-texas",206492,"https://static.inaturalist.org/attachments/users/icons/206492/medium.jpg?1475537863",452,43,1
"amarzee",94627,"https://static.inaturalist.org/attachments/users/icons/94627/medium.jpg?1475549667",417,67,1
"coatzin",22707,"https://static.inaturalist.org/attachments/users/icons/22707/medium.jpg?1475539517",403,46,1
"jakob",5643,"https://static.inaturalist.org/attachments/users/icons/5643/medium.png?1475530151",397,103,1
"mako252",18812,"https://static.inaturalist.org/attachments/users/icons/18812/medium.jpg?1491249260",347,25,0
"billryerson",114123,"https://static.inaturalist.org/attachments/users/icons/114123/medium.jpg?1496752196",322,27,0
"loarie",477,"http://staticdev.inaturalist.org/attachments/users/icons/477/medium.jpg?1475527574",312,271,1
"jmaughn",2873,"https://static.inaturalist.org/attachments/users/icons/2873/medium.jpg?1475528622",295,58,1
"gtsalmon",43772,"https://static.inaturalist.org/attachments/users/icons/43772/medium.jpg?1480819435",271,49,1
"pagophila",393377,"https://static.inaturalist.org/attachments/users/icons/393377/medium.jpg?1489357267",255,84,1
"amplex4love",5504,"https://static.inaturalist.org/attachments/users/icons/5504/medium.jpg?1485709399",240,73,1
"oddfitz",115786,"https://static.inaturalist.org/attachments/users/icons/115786/medium.jpg?1504043696",236,21,0
"kchyn",81860,"",233,9,0
"swampy",109854,"https://static.inaturalist.org/attachments/users/icons/109854/medium.jpg?1502568743",225,13,0
"fieldnotes",42513,"https://static.inaturalist.org/attachments/users/icons/42513/medium.jpg?1475548996",204,50,1
"cliygh-and-mia",121021,"https://static.inaturalist.org/attachments/users/icons/121021/medium.jpg?1506785477",201,84,1
"d_kluza",13200,"https://static.inaturalist.org/attachments/users/icons/13200/medium.gif?1494813070",182,48,1
"reedmcclure",21609,"https://static.inaturalist.org/attachments/users/icons/21609/medium.jpg?1475539002",181,19,0
"norio_nomura",460572,"https://static.inaturalist.org/attachments/users/icons/460572/medium.jpg?1492818458",169,3,0
"umpquamatt",416993,"https://static.inaturalist.org/attachments/users/icons/416993/medium.jpg?1490505704",160,14,0
"jasonjdking",513112,"https://static.inaturalist.org/attachments/users/icons/513112/medium.jpg?1498483209",157,13,0
