raw_date,end_date,date,count,most_login,most_user,icon
2011-01-01,2011-01-31,Jan 2011,73,msr,516,https://static.inaturalist.org/attachments/users/icons/516/medium.jpg?1475527596
2011-02-01,2011-02-28,Feb 2011,0,,,
2011-03-01,2011-03-31,Mar 2011,0,,,
2011-04-01,2011-04-30,Apr 2011,5,kevinj,1005,https://static.inaturalist.org/attachments/users/icons/1005/medium.jpg?1475527775
2011-05-01,2011-05-31,May 2011,25,clay,1502,https://static.inaturalist.org/attachments/users/icons/1502/medium.jpeg?1475528004
2011-06-01,2011-06-30,Jun 2011,79,eric_hunt,604,https://static.inaturalist.org/attachments/users/icons/604/medium.jpg?1475527629
2011-07-01,2011-07-31,Jul 2011,20,blundershot,2357,https://static.inaturalist.org/attachments/users/icons/2357/medium.jpg?1475528451
2011-08-01,2011-08-31,Aug 2011,63,ctracey,2370,https://static.inaturalist.org/attachments/users/icons/2370/medium.jpg?1475528463
2011-09-01,2011-09-30,Sep 2011,93,arthur_chapman,2851,https://static.inaturalist.org/attachments/users/icons/2851/medium.jpg?1475528610
2011-10-01,2011-10-31,Oct 2011,26,poppyde,3110,https://static.inaturalist.org/attachments/users/icons/3110/medium.jpg?1475528707
2011-11-01,2011-11-30,Nov 2011,7,sea-kangaroo,2991,https://static.inaturalist.org/attachments/users/icons/2991/medium.jpg?1475528667
2011-12-01,2011-12-31,Dec 2011,209,sea-kangaroo,2991,https://static.inaturalist.org/attachments/users/icons/2991/medium.jpg?1475528667
2012-01-01,2012-01-31,Jan 2012,183,sea-kangaroo,2991,https://static.inaturalist.org/attachments/users/icons/2991/medium.jpg?1475528667
2012-02-01,2012-02-29,Feb 2012,32,ajft,4699,https://static.inaturalist.org/attachments/users/icons/4699/medium.jpeg?1475529693
2012-03-01,2012-03-31,Mar 2012,20,sea-kangaroo,2991,https://static.inaturalist.org/attachments/users/icons/2991/medium.jpg?1475528667
2012-04-01,2012-04-30,Apr 2012,57,sea-kangaroo,2991,https://static.inaturalist.org/attachments/users/icons/2991/medium.jpg?1475528667
2012-05-01,2012-05-31,May 2012,8,storm,6969,https://static.inaturalist.org/attachments/users/icons/6969/medium.jpeg?1475530886
2012-06-01,2012-06-30,Jun 2012,253,sea-kangaroo,2991,https://static.inaturalist.org/attachments/users/icons/2991/medium.jpg?1475528667
2012-07-01,2012-07-31,Jul 2012,21,nikonoid,7998,https://static.inaturalist.org/attachments/users/icons/7998/medium.jpg?1475531427
2012-08-01,2012-08-31,Aug 2012,201,sea-kangaroo,2991,https://static.inaturalist.org/attachments/users/icons/2991/medium.jpg?1475528667
2012-09-01,2012-09-30,Sep 2012,280,sea-kangaroo,2991,https://static.inaturalist.org/attachments/users/icons/2991/medium.jpg?1475528667
2012-10-01,2012-10-31,Oct 2012,394,sea-kangaroo,2991,https://static.inaturalist.org/attachments/users/icons/2991/medium.jpg?1475528667
2012-11-01,2012-11-30,Nov 2012,72,gfx,9475,https://static.inaturalist.org/attachments/users/icons/9475/medium.jpg?1475532119
2012-12-01,2012-12-31,Dec 2012,164,sea-kangaroo,2991,https://static.inaturalist.org/attachments/users/icons/2991/medium.jpg?1475528667
2013-01-01,2013-01-31,Jan 2013,588,screws,11882,https://static.inaturalist.org/attachments/users/icons/11882/medium.jpg?1475533159
2013-02-01,2013-02-28,Feb 2013,164,vespadelus,2045,https://static.inaturalist.org/attachments/users/icons/2045/medium.jpg?1475528318
2013-03-01,2013-03-31,Mar 2013,298,vespadelus,2045,https://static.inaturalist.org/attachments/users/icons/2045/medium.jpg?1475528318
2013-04-01,2013-04-30,Apr 2013,272,vespadelus,2045,https://static.inaturalist.org/attachments/users/icons/2045/medium.jpg?1475528318
2013-05-01,2013-05-31,May 2013,137,nrg800,4292,https://static.inaturalist.org/attachments/users/icons/4292/medium.jpg?1475529492
2013-06-01,2013-06-30,Jun 2013,168,sea-kangaroo,2991,https://static.inaturalist.org/attachments/users/icons/2991/medium.jpg?1475528667
2013-07-01,2013-07-31,Jul 2013,252,sullivanribbit,18222,https://static.inaturalist.org/attachments/users/icons/18222/medium.jpeg?1475537192
2013-08-01,2013-08-31,Aug 2013,469,sea-kangaroo,2991,https://static.inaturalist.org/attachments/users/icons/2991/medium.jpg?1475528667
