raw_date,end_date,date,count,most_login,most_user,icon
2011-01-01,2011-01-31,Jan 2011,0,,,
2011-02-01,2011-02-28,Feb 2011,0,,,
2011-03-01,2011-03-31,Mar 2011,0,,,
2011-04-01,2011-04-30,Apr 2011,0,,,
2011-05-01,2011-05-31,May 2011,9,guille,1178,https://static.inaturalist.org/attachments/users/icons/1178/medium.jpg?1483039093
2011-06-01,2011-06-30,Jun 2011,4,bbunny,1850,https://static.inaturalist.org/attachments/users/icons/1850/medium.jpeg?1475528210
2011-07-01,2011-07-31,Jul 2011,4,bbunny,1850,https://static.inaturalist.org/attachments/users/icons/1850/medium.jpeg?1475528210
2011-08-01,2011-08-31,Aug 2011,2,sterling,554,https://static.inaturalist.org/attachments/users/icons/554/medium.png?1475527613
2011-09-01,2011-09-30,Sep 2011,0,,,
2011-10-01,2011-10-31,Oct 2011,0,,,
2011-11-01,2011-11-30,Nov 2011,8,designonze,1370,https://static.inaturalist.org/attachments/users/icons/1370/medium.jpeg?1475527926
2011-12-01,2011-12-31,Dec 2011,12,liamq,4083,https://static.inaturalist.org/attachments/users/icons/4083/medium.jpeg?1475529376
2012-01-01,2012-01-31,Jan 2012,0,,,
2012-02-01,2012-02-29,Feb 2012,2,sofamariel,4542,https://static.inaturalist.org/attachments/users/icons/4542/medium.jpg?1475529635
2012-03-01,2012-03-31,Mar 2012,11,maubecin,5064,https://static.inaturalist.org/attachments/users/icons/5064/medium.jpg?1475529857
2012-04-01,2012-04-30,Apr 2012,0,,,
2012-05-01,2012-05-31,May 2012,9,guille,1178,https://static.inaturalist.org/attachments/users/icons/1178/medium.jpg?1483039093
2012-06-01,2012-06-30,Jun 2012,59,guille,1178,https://static.inaturalist.org/attachments/users/icons/1178/medium.jpg?1483039093
2012-07-01,2012-07-31,Jul 2012,1,herpguy,8060,https://static.inaturalist.org/attachments/users/icons/8060/medium.jpg?1475531455
2012-08-01,2012-08-31,Aug 2012,0,,,
2012-09-01,2012-09-30,Sep 2012,10,jthomas,5134,https://static.inaturalist.org/attachments/users/icons/5134/medium.png?1475529888
2012-10-01,2012-10-31,Oct 2012,2,maubecin,5064,https://static.inaturalist.org/attachments/users/icons/5064/medium.jpg?1475529857
2012-11-01,2012-11-30,Nov 2012,4,edwardrooks,10201,https://static.inaturalist.org/attachments/users/icons/10201/medium.jpeg?1475532462
2012-12-01,2012-12-31,Dec 2012,2,greglasley,9706,https://static.inaturalist.org/attachments/users/icons/9706/medium.jpg?1509395956
2013-01-01,2013-01-31,Jan 2013,3,mccain,8074,
2013-02-01,2013-02-28,Feb 2013,0,,,
2013-03-01,2013-03-31,Mar 2013,0,,,
2013-04-01,2013-04-30,Apr 2013,25,carmelo_lopez,15211,https://static.inaturalist.org/attachments/users/icons/15211/medium.jpg?1475535487
2013-05-01,2013-05-31,May 2013,7,carmelo_lopez,15211,https://static.inaturalist.org/attachments/users/icons/15211/medium.jpg?1475535487
2013-06-01,2013-06-30,Jun 2013,156,carmelo_lopez,15211,https://static.inaturalist.org/attachments/users/icons/15211/medium.jpg?1475535487
2013-07-01,2013-07-31,Jul 2013,124,carmelo_lopez,15211,https://static.inaturalist.org/attachments/users/icons/15211/medium.jpg?1475535487
2013-08-01,2013-08-31,Aug 2013,21,carmelo_lopez,15211,https://static.inaturalist.org/attachments/users/icons/15211/medium.jpg?1475535487
